posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
CAR,2024,12,46.5,1.0,0.0,5.0
CAR,2024,13,36.4,0.6,0.0,2.0
CAR,2024,14,41.0,1.0,18.0,4.0
CAR,2024,15,47.5,0.8642857142857142,12.571428,0.0
CAR,2024,16,43.266666,1.0,12.285714,1.3333334
CAR,2024,17,37.666668,0.0,2.1111112,0.0
CAR,2024,18,51.666668,1.0,0.0,3.4625
CAR,2025,1,43.0,1.0,7.1666665,0.0
CAR,2025,2,41.5,1.0,18.833334,6.0
CAR,2025,3,45.0,1.0,21.0,0.0
CAR,2025,4,41.45,0.0,19.857143,4.75
CAR,2025,5,53.666668,1.0,22.6,0.0
CAR,2025,6,49.0,1.0,6.6666665,0.0
CAR,2025,7,39.0,1.0,15.0,7.0
CAR,2025,8,48.416668,0.5,19.5,4.3333335
CHI,2022,1,46.166668,0.9358974358974359,16.0,0.0
CHI,2022,2,49.5,1.0,19.166666,0.0
CHI,2022,3,45.3,1.0,10.4,0.2
CHI,2022,4,49.0,1.0,8.8,3.8
CHI,2022,5,56.0,1.0,7.8,0.0
CHI,2022,6,43.583332,0.9358974358974359,5.5,2.6666667
CHI,2022,7,32.25,1.0,16.333334,8.25
CHI,2022,8,46.25,1.0,2.75,4.5
CHI,2022,9,25.666666,1.0,5.0,2.0
CHI,2022,10,32.0,1.0,11.166667,11.0
CHI,2022,11,40.0,0.5,11.0,0.0
CHI,2022,12,42.8,1.0,0.0,6.0
CHI,2022,13,33.0,0.6666666666666666,23.666666,6.0
CHI,2022,15,30.0,0.9358974358974359,10.6,12.0
CHI,2022,16,45.25,1.0,18.833334,4.0
CHI,2022,17,42.52381,1.0,7.875,3.3333333
CHI,2022,18,39.0,0.9358974358974359,11.714286,-2.0
CHI,2023,1,49.8,1.0,14.0,3.2
CHI,2023,2,46.4,1.0,0.0,0.0
CHI,2023,3,45.8,1.0,0.0,0.0
CHI,2023,4,43.0,0.9366666666666668,0.0,2.0
CHI,2023,5,35.166668,1.0,0.0,8.5
CHI,2023,6,41.6,1.0,18.0,2.4
CHI,2023,7,40.0,1.0,12.25,0.0
CHI,2023,8,35.0,0.9366666666666668,3.4285715,7.0
CHI,2023,9,47.5,0.5,0.0,0.0
CHI,2023,10,44.666668,1.0,6.0,2.0
CHI,2023,11,45.5,1.0,0.0,0.0
CHI,2023,12,45.666668,0.8,14.0,0.0
CHI,2023,14,29.0,1.0,17.0,14.0
CHI,2023,15,42.244442,1.0,0.0,2.5555556
CHI,2023,16,50.166668,1.0,6.5,1.8333334
CHI,2023,17,42.416668,0.75,13.5,6.3333335
CHI,2023,18,45.666668,1.0,28.25,3.113889
CHI,2024,1,32.2,1.0,16.75,12.8
CHI,2024,2,47.166664,1.0,8.333333,0.16666667
CHI,2024,3,41.533333,0.5,6.5,0.8
CHI,2024,4,39.4,1.0,4.5,16.0
CHI,2024,5,43.0,1.0,26.666666,1.5
CHI,2024,6,61.5,0.0,0.0,0.0
CHI,2024,8,46.514286,0.8452380952380952,17.0,2.2
CHI,2024,9,51.25,1.0,0.0,3.25
CHI,2024,10,34.275,1.0,8.75,7.6
CHI,2024,11,41.5,0.6666666666666666,13.75,0.0
CHI,2024,12,47.416668,0.6666666666666666,7.857143,1.25
CHI,2024,13,55.75,0.8452380952380952,4.0,0.0
CHI,2024,14,45.666668,0.8452380952380952,5.0,7.0
CHI,2024,15,43.333332,1.0,4.142857,4.0
CHI,2024,16,31.333332,1.0,10.285714,9.0
CHI,2024,17,43.214287,1.0,7.3333335,3.5
CHI,2024,18,10.999998,1.0,16.5,31.333334
CHI,2025,1,39.04762,0.5,20.833334,5.285714
CHI,2025,2,47.666668,0.8416666666666667,26.875,5.3333335
CHI,2025,3,28.5,1.0,10.25,15.5
CHI,2025,4,30.333332,1.0,24.4,19.0
CHI,2025,6,53.0,0.8,24.0,0.0
CHI,2025,7,37.0,1.0,15.666667,6.0
CHI,2025,8,50.0,0.75,22.428572,4.0
CIN,2022,1,48.791668,0.6666666666666666,0.0,3.875
CIN,2022,2,43.2,1.0,0.0,4.0
CIN,2022,3,39.666664,0.6666666666666666,0.0,7.6666665
CIN,2022,4,32.083332,1.0,0.0,7.6666665
CIN,2022,5,38.5,1.0,10.8,0.0
CIN,2022,6,32.666668,1.0,8.857142,11.0
CIN,2022,7,39.833332,0.8240740740740741,10.333333,6.6666665
CIN,2022,8,29.25,0.0,11.2,7.5
CIN,2022,9,29.6,0.0,9.25,10.4
CIN,2022,11,50.333332,1.0,24.8,3.6666667
CIN,2022,12,49.8,1.0,2.8,2.0
CIN,2022,13,30.0,1.0,5.4,10.0
CIN,2022,14,37.5,1.0,0.0,3.5
CIN,2022,15,45.0,1.0,12.0,0.0
CIN,2022,16,37.5,0.5,23.75,5.8333335
