posteam,season,week,avg_plays_per_drive,total_drives
GB,2022,13,7.444444444444445,9
GB,2022,15,7.444444444444445,9
GB,2022,16,6.7,10
GB,2022,17,7.111111111111111,9
GB,2022,18,6.888888888888889,9
GB,2023,1,6.0,11
GB,2023,2,5.666666666666667,9
GB,2023,3,7.3,10
GB,2023,4,5.166666666666667,12
GB,2023,5,5.7272727272727275,11
GB,2023,7,7.333333333333333,9
GB,2023,8,6.7,10
GB,2023,9,6.0,12
GB,2023,10,6.363636363636363,11
GB,2023,11,7.6,10
GB,2023,12,6.0,10
GB,2023,13,9.571428571428571,7
GB,2023,14,6.7272727272727275,11
GB,2023,15,7.625,8
GB,2023,16,6.8,10
GB,2023,17,7.5,10
GB,2023,18,8.571428571428571,7
GB,2023,19,6.222222222222222,9
GB,2023,20,7.333333333333333,9
GB,2024,1,5.909090909090909,11
GB,2024,2,7.4,10
GB,2024,3,6.7,10
GB,2024,4,5.333333333333333,15
GB,2024,5,6.2,10
GB,2024,6,7.2,10
GB,2024,7,5.636363636363637,11
GB,2024,8,6.0,12
GB,2024,9,7.555555555555555,9
GB,2024,11,7.333333333333333,6
GB,2024,12,6.545454545454546,11
GB,2024,13,6.0,10
GB,2024,14,5.333333333333333,9
GB,2024,15,5.666666666666667,12
GB,2024,16,8.875,8
GB,2024,17,6.3,10
GB,2024,18,5.666666666666667,12
GB,2024,19,7.0,9
GB,2025,1,5.666666666666667,9
GB,2025,2,6.181818181818182,11
GB,2025,3,7.444444444444445,9
GB,2025,4,8.2,10
GB,2025,6,7.875,8
GB,2025,7,6.333333333333333,9
GB,2025,8,5.833333333333333,12
HOU,2022,1,5.846153846153846,13
HOU,2022,2,6.6,10
HOU,2022,3,5.818181818181818,11
HOU,2022,4,4.833333333333333,12
HOU,2022,5,7.0,9
HOU,2022,7,7.666666666666667,9
HOU,2022,8,5.363636363636363,11
HOU,2022,9,6.888888888888889,9
HOU,2022,10,6.181818181818182,11
HOU,2022,11,6.0,10
HOU,2022,12,5.230769230769231,13
HOU,2022,13,5.071428571428571,14
HOU,2022,14,5.384615384615385,13
HOU,2022,15,6.2,10
HOU,2022,16,6.363636363636363,11
HOU,2022,17,5.6923076923076925,13
