posteam,season,week,red_zone_trips,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
DEN,2022,10,1,1.0,1.0,1.0
DEN,2022,11,2,2.0,0.5,1.0
DEN,2022,12,2,2.0,0.5,1.0
DEN,2022,14,4,4.0,1.0,1.0
DEN,2022,15,4,4.0,0.75,1.0
DEN,2022,16,1,1.0,1.0,1.0
DEN,2022,17,3,3.0,1.0,1.0
DEN,2022,18,5,5.0,0.8,1.0
DEN,2023,1,3,3.0,0.6666666666666666,1.0
DEN,2023,2,6,6.0,0.6666666666666666,1.0
DEN,2023,3,5,5.0,0.4,1.0
DEN,2023,4,3,3.0,1.0,1.0
DEN,2023,5,4,4.0,0.5,1.0
