posteam,season,week,start_yardline_bucket,downs_prob,end_half_prob,fg_prob,punt_prob,td_prob,turnover_prob,total_drives
ATL,2023,13,own_10,0.0,0.25,0.0,0.75,0.0,0.0,4
ATL,2023,14,opp_35,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,6
ATL,2023,14,own_35,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ATL,2023,15,opp_35,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,3
ATL,2023,15,own_20,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3
ATL,2023,16,opp_35,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
ATL,2023,17,opp_35,0.0,0.5,0.125,0.125,0.0,0.25,8
ATL,2023,17,own_20,0.0,0.25,0.0,0.5,0.0,0.25,4
ATL,2023,18,opp_35,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,9
ATL,2024,1,opp_35,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.16666666666666666,6
ATL,2024,2,opp_35,0.2,0.4,0.4,0.0,0.0,0.0,5
ATL,2024,3,opp_35,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,6
ATL,2024,4,opp_35,0.0,0.0,0.6,0.0,0.2,0.2,5
ATL,2024,4,own_10,0.0,0.25,0.25,0.5,0.0,0.0,4
ATL,2024,5,opp_35,0.0,0.625,0.125,0.125,0.125,0.0,8
ATL,2024,5,own_20,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
ATL,2024,6,opp_35,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,6
ATL,2024,7,opp_35,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,7
ATL,2024,7,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ATL,2024,8,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
ATL,2024,9,opp_35,0.0,0.6,0.0,0.4,0.0,0.0,5
ATL,2024,10,opp_35,0.0,0.8,0.0,0.2,0.0,0.0,5
ATL,2024,10,own_10,0.2,0.2,0.0,0.4,0.0,0.2,5
