posteam,season,week,off_yards_per_play,off_yards_per_pass_attempt,def_yards_per_play_allowed,def_yards_per_pass_allowed
CAR,2025,6,6.66129,7.4814816,5.6346154,7.6764708
CAR,2025,7,4.470588,5.1944447,3.6666667,3.5681818
CAR,2025,8,4.1355934,4.09375,6.8333335,6.6
CAR,2025,9,4.9074073,4.826087,5.857143,6.9736843
CHI,2022,1,3.8867924,5.7826085,4.9402986,5.0
CHI,2022,2,5.5609756,3.5,6.3846154,7.5172415
CHI,2022,3,6.0666666,4.96,5.7719297,7.181818
CHI,2022,4,5.0666666,5.9142857,5.4590163,5.6363635
CHI,2022,5,5.6458335,7.9333334,6.013889,7.25
CHI,2022,6,5.6666665,5.714286,3.9629629,3.3076923
CHI,2022,7,5.6666665,6.423077,5.5531917,6.6875
CHI,2022,8,5.082192,5.121212,8.072727,8.642858
CHI,2022,9,5.3,6.0,7.66,9.870968
CHI,2022,10,7.034483,6.3461537,5.586207,8.1
CHI,2022,11,4.3636365,5.354839,5.8958335,6.2727275
CHI,2022,12,5.327273,6.107143,7.7833333,10.266666
CHI,2022,13,8.367347,9.357142,5.822581,5.757576
CHI,2022,15,4.368421,4.757576,6.071429,7.7619047
CHI,2022,16,3.6034484,4.375,7.254237,6.6875
CHI,2022,17,4.6,3.3125,7.567164,7.709677
CHI,2022,18,5.3265305,4.774194,6.7887325,10.1470585
CHI,2023,1,4.3472223,5.0816326,5.483333,8.266666
CHI,2023,2,4.627451,4.7222223,6.651515,8.842105
CHI,2023,3,3.9803922,3.7586207,6.260274,8.073171
CHI,2023,4,6.7285714,7.878049,6.638298,7.290323
CHI,2023,5,7.046875,8.545455,5.7352943,6.196721
CHI,2023,6,4.3125,4.28125,4.185185,5.2727275
CHI,2023,7,4.880597,5.212121,3.852459,4.1702127
CHI,2023,8,4.790323,5.625,5.415385,7.292683
CHI,2023,9,5.75,7.2702703,4.9508195,6.0555553
CHI,2023,10,4.347826,4.783784,3.7368422,4.2727275
CHI,2023,11,4.785714,6.9310346,5.779661,5.8717947
CHI,2023,12,4.9384613,4.9545455,4.745098,5.0
CHI,2023,14,5.2,5.8536587,4.2380953,3.2564104
CHI,2023,15,3.3714285,3.5333333,5.626866,7.102041
CHI,2023,16,6.2686567,6.6060605,5.1,5.404762
CHI,2023,17,6.0,7.1842103,5.2033896,5.6153846
CHI,2023,18,4.173913,5.4583335,7.4827585,9.088235
CHI,2024,1,2.9230769,2.4117646,4.0,3.2894738
CHI,2024,2,3.1060605,3.7083333,5.1833334,6.025641
CHI,2024,3,4.702381,5.928571,6.0784316,7.4545455
CHI,2024,4,5.1153846,5.1153846,5.5689654,6.151515
CHI,2024,5,6.3880596,9.166667,5.034483,4.4634147
CHI,2024,6,6.4827585,7.7352943,4.65,5.181818
CHI,2024,8,5.0655737,4.121212,6.6805553,7.847826
CHI,2024,9,3.5072465,3.56,6.140351,5.9565215
CHI,2024,10,2.4067798,2.0487804,5.483333,7.206897
CHI,2024,11,5.6666665,6.525,8.5348835,13.9
CHI,2024,12,5.4054055,6.1578946,6.953846,8.631579
CHI,2024,13,5.101695,5.4583335,5.869565,5.861111
CHI,2024,14,3.0566037,3.3235295,7.55,11.642858
CHI,2024,15,4.5238094,4.7027025,4.633803,5.1190476
CHI,2024,16,6.4745765,7.7608695,7.4375,9.969697
CHI,2024,17,3.086207,2.6578948,5.32,5.821429
CHI,2024,18,4.0,4.625,5.919355,6.3448277
CHI,2025,1,5.031746,5.9534883,5.019608,5.6538463
CHI,2025,2,5.296875,5.775,8.810345,11.724138
CHI,2025,3,7.0363636,10.344828,5.852941,5.7708335
CHI,2025,4,4.25,5.285714,7.0,6.6363635
CHI,2025,6,6.4915257,7.0588236,5.59322,7.4
CHI,2025,7,5.9692307,6.0740743,4.773585,5.8378377
CHI,2025,8,6.0,7.3170733,6.016949,8.28
CHI,2025,9,7.4805193,7.688889,7.6615386,8.843137
CIN,2022,1,4.568421,5.242424,4.5423727,5.05
CIN,2022,2,3.835821,4.2173915,5.8103447,7.25
CIN,2022,3,5.171875,6.820513,4.3157897,4.5
CIN,2022,4,6.233333,8.942857,6.3,7.794872
CIN,2022,5,4.9322033,5.0,5.4333334,5.0
CIN,2022,6,6.462963,6.9069767,5.619718,4.6216216
CIN,2022,7,8.276923,10.2,4.7555556,6.5263157
CIN,2022,8,4.58,4.825,6.6119404,10.84
CIN,2022,9,6.6714287,6.757576,4.75,5.483871
CIN,2022,11,6.5079365,8.285714,5.1617646,5.659091
CIN,2022,12,6.096774,7.1904764,6.142857,7.8378377
CIN,2022,13,6.765625,8.388889,6.462963,7.096774
CIN,2022,14,6.3103447,6.4324327,4.985507,6.212766
CIN,2022,15,3.9508197,4.5581393,5.5774646,6.489362
CIN,2022,16,5.679487,6.8,5.5,6.0540543
CIN,2022,18,4.015625,4.6222224,5.287671,6.0
CIN,2022,19,4.388889,4.85,5.5151515,6.5454545
CIN,2022,20,6.0735292,7.105263,5.2419353,5.9148936
CIN,2022,21,4.904762,5.244898,5.409091,6.591837
CIN,2023,1,2.7692308,1.9705882,4.821918,4.6571426
CIN,2023,2,4.9473686,5.139535,6.0289855,6.85
CIN,2023,3,4.4428573,4.84,5.6153846,5.7
CIN,2023,4,4.24,4.0285716,6.5737705,7.677419
CIN,2023,5,4.8846154,5.901961,5.1578946,4.3428574
CIN,2023,6,4.1346154,4.4358974,5.4857144,6.5416665
CIN,2023,8,6.5737705,7.8157897,8.214286,10.358974
CIN,2023,9,6.25,7.6086955,5.696429,6.2444444
CIN,2023,10,6.4576273,7.106383,7.3513513,8.878049
CIN,2023,11,4.6101694,4.4634147,6.75,8.121212
CIN,2023,12,5.575,6.46875,6.523077,7.4594593
CIN,2023,13,6.8194447,8.476191,5.529412,6.869565
CIN,2023,14,6.754386,10.37037,4.5833335,5.318182
CIN,2023,15,5.6865673,6.3404255,6.328358,7.3846154
CIN,2023,16,5.967742,6.7608695,6.8448277,10.034483
CIN,2023,17,3.7042253,4.25,7.352941,7.4242425
CIN,2023,18,5.377049,4.939394,4.7115383,5.1875
CIN,2024,1,4.6666665,4.7714286,4.7868853,5.3103447
CIN,2024,2,5.2459016,6.1707315,4.766667,5.1875
CIN,2024,3,7.147541,7.5238094,6.509091,9.033334
CIN,2024,4,6.016129,7.5625,5.4492755,5.3488374
CIN,2024,5,6.7272725,8.651163,6.855263,7.893617
CIN,2024,6,6.12,7.0588236,4.366197,4.744186
CIN,2024,7,4.52,5.857143,4.4155846,4.5789475
CIN,2024,8,4.9298244,5.95,6.7288136,11.571428
CIN,2024,9,5.4347825,6.1707315,3.677966,4.076923
CIN,2024,10,6.1842103,7.0,6.7586207,8.611111
CIN,2024,11,5.794872,6.7272725,7.016129,8.439024
CIN,2024,13,6.5789475,6.6136365,8.15625,10.121951
CIN,2024,14,6.904762,7.804348,5.4576273,4.8285713
CIN,2024,15,5.873016,7.2702703,5.84375,7.769231
CIN,2024,16,5.9454546,6.361111,4.3333335,3.5238094
CIN,2024,17,6.0240965,7.051724,5.483333,6.025641
CIN,2024,18,4.5,4.92,3.3275862,3.6216216
CIN,2025,1,2.877551,3.5,4.6056337,5.875
CIN,2025,2,5.3846154,6.2916665,5.714286,6.0
CIN,2025,3,3.2884614,3.8064516,6.0689654,6.448276
CIN,2025,4,3.8095238,3.7586207,6.6883116,7.6136365
CIN,2025,5,5.551724,5.888889,6.220339,8.821428
CIN,2025,6,4.4262295,4.7777777,6.9322033,8.75
CIN,2025,7,6.9710145,6.6938777,7.3333335,7.285714
CIN,2025,8,6.862069,6.388889,7.242857,7.0
CIN,2025,9,7.6615386,8.843137,7.4805193,7.688889
CLE,2022,1,4.9305553,4.0555553,5.3469386,6.6875
CLE,2022,2,6.34375,8.21875,6.1060605,6.5833335
CLE,2022,3,5.2957745,6.212121,5.6,6.181818
CLE,2022,4,5.6760564,6.105263,6.4615383,6.55
CLE,2022,5,6.8153844,7.1944447,6.970149,6.368421
CLE,2022,6,4.8235292,5.16,6.5,8.361111
CLE,2022,7,6.0,7.0588236,4.112903,5.285714
CLE,2022,8,6.6119404,10.84,4.58,4.825
CLE,2022,10,4.885246,5.285714,7.671875,8.705882
CLE,2022,11,5.925373,7.688889,5.774194,6.4
CLE,2022,12,4.8933334,4.7674417,4.9242425,4.978261
CLE,2022,13,5.2586207,5.875,4.564516,5.025
CLE,2022,14,4.985507,6.212766,6.3103447,6.4324327
CLE,2022,15,4.655738,4.90625,5.3114753,3.942857
CLE,2022,16,3.716418,3.7878788,4.6226416,6.133333
CLE,2022,17,6.08,6.52,3.8235295,4.0
CLE,2022,18,5.385965,5.375,4.9264708,6.0
CLE,2023,1,4.821918,4.6571426,2.7692308,1.9705882
CLE,2023,2,4.9638553,4.734694,5.0588236,6.25
CLE,2023,3,5.0895524,7.216216,2.088889,2.2666667
CLE,2023,4,2.609375,2.2790697,5.3818183,6.923077
CLE,2023,6,4.8550725,4.7297297,4.075472,3.7333333
CLE,2023,7,4.464789,4.3589745,6.80597,10.566667
CLE,2023,8,5.216216,6.5405407,6.7222223,6.5263157
CLE,2023,9,4.6571426,7.121212,1.2083334,1.40625
CLE,2023,10,5.0133333,5.0652175,6.12,7.4333334
CLE,2023,11,3.6478872,4.0,4.464286,2.6060605
CLE,2023,12,3.857143,3.5,5.137931,5.56
