posteam,season,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
WAS,2023,1.0,long,down_14+,Q2-Q3,16.0,8.0,24,0.6666666666666666,0.3333333333333333
WAS,2023,1.0,long,down_14+,Q3-Q4,19.0,13.0,32,0.59375,0.40625
WAS,2023,1.0,long,down_14+,Q4_late,24.0,5.0,29,0.8275862068965517,0.1724137931034483
WAS,2023,1.0,long,down_7-13,Q1-Q2,11.0,11.0,22,0.5,0.5
WAS,2023,1.0,long,down_7-13,Q2-Q3,17.0,10.0,27,0.6296296296296297,0.37037037037037035
WAS,2023,1.0,long,down_7-13,Q3-Q4,13.0,12.0,25,0.52,0.48
WAS,2023,1.0,long,down_7-13,Q4_late,24.0,11.0,35,0.6857142857142857,0.3142857142857143
WAS,2023,1.0,long,down_1-6,Q3-Q4,12.0,10.0,22,0.5454545454545454,0.45454545454545453
WAS,2023,1.0,long,tied,Q1-Q2,31.0,19.0,50,0.62,0.38
WAS,2023,1.0,long,up_1-6,Q2-Q3,16.0,6.0,22,0.7272727272727273,0.2727272727272727
WAS,2024,1.0,long,down_7-13,Q2-Q3,13.0,9.0,22,0.5909090909090909,0.4090909090909091
WAS,2024,1.0,long,down_7-13,Q3-Q4,13.0,8.0,21,0.6190476190476191,0.38095238095238093
WAS,2024,1.0,long,down_1-6,Q4_late,20.0,4.0,24,0.8333333333333334,0.16666666666666666
WAS,2024,1.0,long,tied,Q1-Q2,16.0,33.0,49,0.32653061224489793,0.673469387755102
WAS,2024,1.0,long,tied,Q2-Q3,9.0,11.0,20,0.45,0.55
WAS,2024,1.0,long,up_1-6,Q1-Q2,5.0,15.0,20,0.25,0.75
WAS,2024,1.0,long,up_1-6,Q2-Q3,23.0,24.0,47,0.48936170212765956,0.5106382978723404
WAS,2024,1.0,long,up_7-13,Q3-Q4,5.0,20.0,25,0.2,0.8
WAS,2024,1.0,long,up_14+,Q3-Q4,10.0,15.0,25,0.4,0.6
WAS,2024,2.0,long,up_1-6,Q2-Q3,16.0,4.0,20,0.8,0.2
WAS,2025,1.0,long,down_7-13,Q2-Q3,11.0,17.0,28,0.39285714285714285,0.6071428571428571
