passer,season,week,completion_pct_clean,completion_pct_pressure,epa_clean,epa_pressure,int_rate_clean,int_rate_pressure,plays_clean,plays_pressure,sack_rate_clean,sack_rate_pressure,scramble_rate_clean,scramble_rate_pressure,td_rate_clean,td_rate_pressure,yards_per_att_clean,yards_per_att_pressure
B.Mayfield,2024,16,0.6666666666666666,0.2,0.2829567,-2.2056792,0.022222222222222223,0.0,45.0,5.0,0.0,0.8,0.06666666666666667,0.0,0.044444444444444446,0.0,7.555555555555555,-4.4
B.Nix,2024,1,0.575,0.3333333333333333,-0.21558873,-0.9938886,0.025,0.1111111111111111,40.0,9.0,0.0,0.2222222222222222,0.125,0.0,0.025,0.0,4.05,0.5555555555555556
B.Nix,2024,2,0.5625,0.2857142857142857,-0.14175212,-0.6784683,0.0625,0.0,32.0,7.0,0.0,0.2857142857142857,0.0625,0.0,0.0,0.0,6.625,3.7142857142857144
B.Nix,2024,6,0.5,0.16666666666666666,0.2220405,-0.8677261,0.027777777777777776,0.0,36.0,6.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.05555555555555555,0.0,7.138888888888889,1.6666666666666667
B.Nix,2024,9,0.5142857142857142,0.16666666666666666,-0.001261316,-1.1017418,0.02857142857142857,0.0,35.0,6.0,0.0,0.6666666666666666,0.11428571428571428,0.0,0.0,0.0,6.914285714285715,-1.6666666666666667
B.Nix,2024,10,0.75,0.2,0.51373935,-1.4892756,0.0,0.0,28.0,5.0,0.0,0.4,0.03571428571428571,0.0,0.07142857142857142,0.0,7.892857142857143,-7.2
B.Perkins,2022,12,0.5652173913043478,0.0,0.0636789,-1.7834774,0.043478260869565216,0.16666666666666666,23.0,6.0,0.0,0.5,0.13043478260869565,0.0,0.043478260869565216,0.0,5.521739130434782,-4.0
B.Purdy,2022,13,0.7272727272727273,0.14285714285714285,0.22712463,-0.9798426,0.030303030303030304,0.0,33.0,7.0,0.0,0.42857142857142855,0.0,0.0,0.06060606060606061,0.0,5.787878787878788,-1.0
B.Purdy,2022,18,0.7,0.16666666666666666,0.6688136,-1.1925856,0.0,0.0,20.0,6.0,0.0,0.6666666666666666,0.1,0.0,0.15,0.0,8.55,-2.3333333333333335
B.Purdy,2022,20,0.6428571428571429,0.2,0.25201622,-0.8982624,0.0,0.0,28.0,5.0,0.0,0.4,0.07142857142857142,0.0,0.0,0.0,6.821428571428571,3.2
B.Purdy,2023,1,0.5925925925925926,0.42857142857142855,0.69288826,-1.3837181,0.0,0.0,27.0,7.0,0.0,0.42857142857142855,0.07407407407407407,0.0,0.07407407407407407,0.0,8.0,1.1428571428571428
B.Purdy,2023,3,0.7058823529411765,0.2,0.68118984,-1.3395917,0.0,0.0,34.0,5.0,0.0,0.4,0.0,0.0,0.058823529411764705,0.0,8.911764705882353,-0.6
B.Purdy,2023,6,0.4782608695652174,0.14285714285714285,-0.20939371,-0.8277642,0.043478260869565216,0.0,23.0,7.0,0.0,0.42857142857142855,0.043478260869565216,0.0,0.043478260869565216,0.0,5.260869565217392,-1.2857142857142858
B.Purdy,2023,8,0.65625,0.14285714285714285,0.2322294,-0.8391536,0.0625,0.0,32.0,7.0,0.0,0.2857142857142857,0.1875,0.0,0.03125,0.0,12.46875,0.7142857142857143
B.Purdy,2023,10,0.8095238095238095,0.2857142857142857,1.0329343,-0.6534812,0.0,0.0,21.0,7.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,12.952380952380953,2.142857142857143
B.Purdy,2023,11,0.8076923076923077,0.0,0.9381801,-1.2606542,0.0,0.0,26.0,5.0,0.0,0.8,0.07692307692307693,0.0,0.11538461538461539,0.0,13.423076923076923,-5.6
B.Purdy,2023,12,0.6666666666666666,0.6,0.021399613,-0.0050677536,0.037037037037037035,0.0,27.0,5.0,0.0,0.2,0.037037037037037035,0.0,0.07407407407407407,0.0,6.666666666666667,6.2
B.Purdy,2023,14,0.6666666666666666,0.42857142857142855,0.56738836,-0.7667804,0.041666666666666664,0.0,24.0,7.0,0.0,0.42857142857142855,0.041666666666666664,0.0,0.08333333333333333,0.0,15.0,0.2857142857142857
B.Purdy,2023,16,0.5555555555555556,0.42857142857142855,-0.2948877,-1.4439353,0.1111111111111111,0.14285714285714285,27.0,7.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,8.333333333333334,3.142857142857143
B.Purdy,2023,20,0.6111111111111112,0.2,0.24102241,-0.4310266,0.0,0.0,36.0,5.0,0.0,0.2,0.05555555555555555,0.0,0.027777777777777776,0.0,6.694444444444445,2.8
B.Purdy,2023,21,0.5806451612903226,0.4,0.38509104,0.006992531,0.03225806451612903,0.0,31.0,5.0,0.0,0.4,0.0967741935483871,0.0,0.03225806451612903,0.0,9.548387096774194,2.8
B.Purdy,2023,22,0.65625,0.2222222222222222,0.36051267,-0.5340491,0.0,0.0,32.0,9.0,0.0,0.1111111111111111,0.0625,0.0,0.03125,0.0,7.625,2.2222222222222223
B.Purdy,2024,2,0.7777777777777778,0.0,0.42235363,-2.0289571,0.027777777777777776,0.0,36.0,8.0,0.0,0.75,0.05555555555555555,0.0,0.027777777777777776,0.0,9.194444444444445,-3.125
B.Purdy,2024,5,0.4722222222222222,0.4,0.09560751,-0.33892602,0.027777777777777776,0.2,36.0,5.0,0.0,0.4,0.1111111111111111,0.0,0.027777777777777776,0.0,6.861111111111111,3.4
B.Purdy,2024,7,0.5,0.16666666666666666,-0.04480633,-1.4434785,0.0625,0.16666666666666666,32.0,6.0,0.0,0.16666666666666666,0.15625,0.0,0.0,0.0,7.46875,-1.0
B.Purdy,2024,10,0.6764705882352942,0.2857142857142857,0.5508567,-0.10044266,0.0,0.0,34.0,7.0,0.0,0.42857142857142855,0.08823529411764706,0.0,0.058823529411764705,0.0,9.647058823529411,4.0
B.Purdy,2024,16,0.6578947368421053,0.16666666666666666,0.44988638,-1.7683245,0.0,0.16666666666666666,38.0,6.0,0.0,0.5,0.07894736842105263,0.0,0.05263157894736842,0.0,8.842105263157896,-3.1666666666666665
B.Purdy,2024,17,0.8125,0.2,0.62227553,-0.8047406,0.0625,0.0,32.0,5.0,0.0,0.4,0.03125,0.0,0.125,0.0,11.8125,-0.8
B.Rypien,2022,7,0.5,0.5,-0.29915074,-0.09798629,0.023809523809523808,0.0,42.0,6.0,0.0,0.16666666666666666,0.023809523809523808,0.0,0.0,0.0,4.0,9.5
B.Rypien,2022,15,0.782608695652174,0.3,0.21426067,-1.0932041,0.043478260869565216,0.0,23.0,10.0,0.0,0.7,0.0,0.0,0.043478260869565216,0.0,7.521739130434782,-1.7
