posteam,season,start_yardline_bucket,td_prob,fg_prob,punt_prob,turnover_prob,downs_prob,end_half_prob,total_drives
CHI,2022,opp_35,0.0261437908496732,0.13741830065359478,0.3036414565826331,0.1550420168067227,0.07026143790849673,0.3074929971988795,99
CHI,2022,own_20,0.0,0.15277777777777776,0.4444444444444444,0.125,0.08333333333333333,0.19444444444444442,21
CHI,2023,opp_35,0.02291666666666667,0.18697916666666667,0.4174107142857143,0.09538690476190476,0.07819940476190476,0.19910714285714284,85
CHI,2023,own_20,0.0,0.3,0.26666666666666666,0.1,0.0,0.3333333333333333,18
CHI,2023,own_10,0.16666666666666666,0.08333333333333333,0.47916666666666663,0.1875,0.0,0.08333333333333333,14
CHI,2024,opp_35,0.0,0.11827731092436974,0.4754901960784314,0.05077030812324929,0.07359943977591037,0.28186274509803916,93
CHI,2024,own_10,0.0,0.1111111111111111,0.3444444444444444,0.1638888888888889,0.05555555555555555,0.325,21
CHI,2025,opp_35,0.0,0.2520408163265306,0.32108843537414966,0.015873015873015872,0.08866213151927438,0.32233560090702945,43
CHI,2025,own_20,0.0,0.1111111111111111,0.27777777777777773,0.19444444444444442,0.0,0.4166666666666667,13
CIN,2022,opp_35,0.0,0.1901002506265664,0.2844611528822055,0.11015037593984962,0.010526315789473684,0.40476190476190477,94
CIN,2022,own_35,0.047619047619047616,0.08333333333333333,0.34523809523809523,0.08333333333333333,0.0,0.4404761904761904,23
CIN,2022,own_20,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,15
CIN,2022,own_10,0.0,0.1111111111111111,0.5277777777777778,0.05555555555555555,0.0,0.3055555555555555,20
CIN,2023,opp_35,0.014705882352941176,0.1439309056956116,0.4042950513538749,0.11078431372549019,0.0457516339869281,0.28053221288515406,93
CIN,2023,own_20,0.0,0.27777777777777773,0.3611111111111111,0.08333333333333333,0.0,0.27777777777777773,11
CIN,2023,own_10,0.0,0.0,0.7166666666666667,0.05555555555555555,0.05555555555555555,0.1722222222222222,22
CIN,2024,opp_35,0.0,0.12404761904761905,0.23523809523809522,0.12507936507936507,0.06055555555555556,0.4550793650793651,88
CIN,2024,own_35,0.08333333333333333,0.0,0.27777777777777773,0.0,0.1111111111111111,0.5277777777777778,11
CIN,2024,own_20,0.08333333333333333,0.05,0.43333333333333335,0.05,0.0,0.3833333333333333,14
CIN,2025,opp_35,0.0,0.1824404761904762,0.36607142857142855,0.08556547619047619,0.015625,0.350297619047619,51
CLE,2022,opp_35,0.0,0.1650093370681606,0.30242763772175535,0.12121848739495797,0.07131185807656396,0.3400326797385621,91
CLE,2022,own_20,0.06666666666666667,0.08333333333333333,0.3277777777777778,0.08333333333333333,0.2888888888888889,0.15,12
CLE,2023,opp_35,0.030158730158730156,0.09915343915343916,0.41984126984126985,0.09148148148148148,0.08582010582010581,0.27354497354497354,82
CLE,2023,own_35,0.1111111111111111,0.19999999999999998,0.45555555555555555,0.15,0.0,0.08333333333333333,12
CLE,2023,own_20,0.0,0.20324675324675326,0.4792207792207792,0.12424242424242425,0.0303030303030303,0.16298701298701299,48
CLE,2023,own_10,0.09259259259259259,0.06481481481481481,0.48148148148148145,0.2222222222222222,0.0,0.1388888888888889,31
CLE,2024,opp_35,0.022058823529411766,0.09166666666666667,0.4117647058823529,0.17254901960784313,0.10784313725490195,0.1941176470588235,92
CLE,2024,own_35,0.0,0.13333333333333333,0.43333333333333335,0.21666666666666667,0.05,0.16666666666666666,14
CLE,2024,own_20,0.05,0.05,0.39666666666666667,0.13,0.11666666666666665,0.25666666666666665,20
CLE,2024,own_10,0.0,0.0,0.6133333333333333,0.13333333333333333,0.06666666666666667,0.18666666666666668,18
CLE,2025,opp_35,0.017857142857142856,0.10714285714285714,0.4770408163265306,0.07397959183673468,0.07142857142857142,0.25255102040816324,40
CLE,2025,own_20,0.0,0.17777777777777778,0.5888888888888889,0.2333333333333333,0.0,0.0,12
DAL,2022,opp_35,0.005847953216374269,0.15977443609022557,0.30446950710108606,0.10438596491228071,0.07017543859649122,0.3553467000835422,98
DAL,2022,own_20,0.05555555555555555,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.38888888888888884,13
DAL,2022,own_10,0.0,0.1349206349206349,0.4384920634920635,0.05555555555555555,0.0,0.37103174603174605,23
DAL,2023,opp_35,0.008333333333333333,0.21944444444444444,0.1922222222222222,0.10111111111111111,0.021666666666666667,0.45722222222222225,77
DAL,2023,own_20,0.0,0.41666666666666663,0.41666666666666663,0.0,0.08333333333333333,0.08333333333333333,12
DAL,2023,own_10,0.0,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.4444444444444444,18
DAL,2024,opp_35,0.008403361344537815,0.22633053221288515,0.3179271708683474,0.1207282913165266,0.06246498599439776,0.2641456582633053,103
DAL,2024,own_20,0.0,0.10666666666666666,0.36666666666666664,0.13999999999999999,0.13333333333333333,0.2533333333333333,18
DAL,2024,own_10,0.06666666666666667,0.10666666666666666,0.42666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,17
DAL,2025,opp_35,0.0,0.26646825396825397,0.29107142857142854,0.09097222222222222,0.0,0.3514880952380952,50
