game,bet_type,side,model,probability,edge,conviction,actual_bet,result
BAL@BUF W1,SPREAD,BAL,CURRENT,0.5026737967914439,-2.132620320855616,NEGATIVE,False,LOSS
BAL@BUF W1,SPREAD,BAL,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
BAL@BUF W1,TOTAL,OVER,CURRENT,0.5496688741721855,2.566887417218544,MEDIUM,True,WIN
BAL@BUF W1,TOTAL,OVER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,WIN
BAL@BUF W1,TOTAL,UNDER,CURRENT,0.4503311258278145,-7.366887417218554,NEGATIVE,False,LOSS
BAL@BUF W1,TOTAL,UNDER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,LOSS
MIN@CHI W1,SPREAD,CHI,CURRENT,0.8461538461538461,32.215384615384615,HIGH,True,LOSS
MIN@CHI W1,SPREAD,CHI,NEW_2025,0.7692307692307693,24.523076923076925,HIGH,True,LOSS
MIN@CHI W1,SPREAD,MIN,CURRENT,0.1538461538461538,-37.01538461538462,NEGATIVE,False,WIN
MIN@CHI W1,SPREAD,MIN,NEW_2025,0.23076923076923078,-29.323076923076925,NEGATIVE,False,WIN
MIN@CHI W1,TOTAL,OVER,CURRENT,0.4434389140271493,-8.056108597285071,NEGATIVE,False,WIN
MIN@CHI W1,TOTAL,OVER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,WIN
MIN@CHI W1,TOTAL,UNDER,CURRENT,0.5565610859728507,3.256108597285068,MEDIUM,True,LOSS
MIN@CHI W1,TOTAL,UNDER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,LOSS
WAS@GB W2,SPREAD,GB,CURRENT,0.4973262032085561,-2.6673796791443936,NEGATIVE,False,WIN
WAS@GB W2,SPREAD,GB,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
WAS@GB W2,SPREAD,WAS,CURRENT,0.5026737967914439,-2.132620320855616,NEGATIVE,False,LOSS
WAS@GB W2,SPREAD,WAS,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
WAS@GB W2,TOTAL,OVER,CURRENT,0.5496688741721855,2.566887417218544,MEDIUM,True,LOSS
WAS@GB W2,TOTAL,OVER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,LOSS
WAS@GB W2,TOTAL,UNDER,CURRENT,0.4503311258278145,-7.366887417218554,NEGATIVE,False,WIN
WAS@GB W2,TOTAL,UNDER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,WIN
CLE@BAL W2,SPREAD,BAL,CURRENT,0.6785714285714286,15.457142857142859,HIGH,True,WIN
CLE@BAL W2,SPREAD,BAL,NEW_2025,0.7692307692307693,24.523076923076925,HIGH,True,WIN
CLE@BAL W2,SPREAD,CLE,CURRENT,0.3214285714285714,-20.257142857142863,NEGATIVE,False,LOSS
CLE@BAL W2,SPREAD,CLE,NEW_2025,0.23076923076923078,-29.323076923076925,NEGATIVE,False,LOSS
CLE@BAL W2,TOTAL,OVER,CURRENT,0.4867549668874172,-3.7245033112582817,NEGATIVE,False,WIN
CLE@BAL W2,TOTAL,OVER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
CLE@BAL W2,TOTAL,UNDER,CURRENT,0.5132450331125828,-1.0754966887417172,NEGATIVE,False,LOSS
CLE@BAL W2,TOTAL,UNDER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
JAX@CIN W2,SPREAD,CIN,CURRENT,0.4186046511627907,-10.53953488372093,NEGATIVE,False,WIN
JAX@CIN W2,SPREAD,CIN,NEW_2025,0.2916666666666667,-23.233333333333334,NEGATIVE,False,WIN
JAX@CIN W2,SPREAD,JAX,CURRENT,0.5813953488372092,5.73953488372092,HIGH,True,LOSS
JAX@CIN W2,SPREAD,JAX,NEW_2025,0.7083333333333334,18.433333333333334,HIGH,True,LOSS
JAX@CIN W2,TOTAL,OVER,CURRENT,0.4867549668874172,-3.7245033112582817,NEGATIVE,False,WIN
JAX@CIN W2,TOTAL,OVER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
JAX@CIN W2,TOTAL,UNDER,CURRENT,0.5132450331125828,-1.0754966887417172,NEGATIVE,False,LOSS
JAX@CIN W2,TOTAL,UNDER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
NYG@DAL W2,SPREAD,DAL,CURRENT,0.4694835680751174,-5.451643192488264,NEGATIVE,False,LOSS
NYG@DAL W2,SPREAD,DAL,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
NYG@DAL W2,SPREAD,NYG,CURRENT,0.5305164319248826,0.6516431924882604,LOW,True,WIN
NYG@DAL W2,SPREAD,NYG,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
NYG@DAL W2,TOTAL,OVER,CURRENT,0.4434389140271493,-8.056108597285071,NEGATIVE,False,WIN
NYG@DAL W2,TOTAL,OVER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,WIN
NYG@DAL W2,TOTAL,UNDER,CURRENT,0.5565610859728507,3.256108597285068,MEDIUM,True,LOSS
NYG@DAL W2,TOTAL,UNDER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,LOSS
CHI@DET W2,SPREAD,DET,CURRENT,0.8461538461538461,32.215384615384615,HIGH,True,WIN
CHI@DET W2,SPREAD,DET,NEW_2025,0.7692307692307693,24.523076923076925,HIGH,True,WIN
CHI@DET W2,SPREAD,CHI,CURRENT,0.1538461538461538,-37.01538461538462,NEGATIVE,False,LOSS
CHI@DET W2,SPREAD,CHI,NEW_2025,0.23076923076923078,-29.323076923076925,NEGATIVE,False,LOSS
CHI@DET W2,TOTAL,OVER,CURRENT,0.4867549668874172,-3.7245033112582817,NEGATIVE,False,WIN
CHI@DET W2,TOTAL,OVER,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
