game_id,season,week,gameday,away_team,home_team,away_ol_grade,home_ol_grade,away_dl_grade,home_dl_grade,pressure_edge_away,pressure_edge_home,net_pressure_advantage,spread_line,total_line,away_score,home_score,actual_spread,point_differential,spread_result,total_result
2022_05_CHI_MIN,2022,5,2022-10-09,CHI,MIN,68.2,66.6,52.2,75.2,-14.399999999999991,7.0,21.39999999999999,10.0,44.0,22.0,29.0,7.0,7.0,AWAY_COVER,OVER
2022_05_DET_NE,2022,5,2022-10-09,DET,NE,63.4,72.5,71.2,73.5,-1.2999999999999972,10.100000000000001,11.399999999999999,3.0,46.5,0.0,29.0,29.0,29.0,HOME_COVER,UNDER
2022_05_SEA_NO,2022,5,2022-10-09,SEA,NO,64.2,61.7,65.1,67.0,3.3999999999999915,2.799999999999997,-0.5999999999999943,5.5,45.5,32.0,39.0,7.0,7.0,HOME_COVER,OVER
2022_05_MIA_NYJ,2022,5,2022-10-09,MIA,NYJ,59.2,59.2,80.4,81.6,21.200000000000003,22.39999999999999,1.1999999999999886,-3.0,46.0,17.0,40.0,23.0,23.0,HOME_COVER,OVER
2022_05_ATL_TB,2022,5,2022-10-09,ATL,TB,73.2,75.0,54.1,64.3,-20.9,-8.900000000000006,11.999999999999993,10.5,46.0,15.0,21.0,6.0,6.0,AWAY_COVER,UNDER
2022_05_TEN_WAS,2022,5,2022-10-09,TEN,WAS,52.4,61.7,71.8,71.9,10.099999999999994,19.500000000000007,9.400000000000013,-1.0,43.0,21.0,17.0,-4.0,-4.0,AWAY_COVER,UNDER
2022_05_SF_CAR,2022,5,2022-10-09,SF,CAR,74.4,72.8,76.4,68.2,3.6000000000000085,-6.200000000000003,-9.800000000000011,-6.0,40.0,37.0,15.0,-22.0,-22.0,AWAY_COVER,OVER
2022_05_DAL_LA,2022,5,2022-10-09,DAL,LA,69.6,62.0,84.5,67.1,22.5,-2.5,-25.0,5.5,42.0,22.0,10.0,-12.0,-12.0,AWAY_COVER,UNDER
2022_05_LV_KC,2022,5,2022-10-10,LV,KC,73.0,73.6,69.4,75.3,-4.199999999999989,2.299999999999997,6.499999999999986,7.5,51.5,29.0,30.0,1.0,1.0,AWAY_COVER,OVER
2022_06_WAS_CHI,2022,6,2022-10-13,WAS,CHI,61.7,68.2,71.9,52.2,3.700000000000003,-9.5,-13.200000000000003,-1.0,38.5,12.0,7.0,-5.0,-5.0,AWAY_COVER,UNDER
2022_06_SF_ATL,2022,6,2022-10-16,SF,ATL,74.4,73.2,76.4,54.1,3.200000000000003,-20.300000000000004,-23.500000000000007,-3.5,46.0,14.0,28.0,14.0,14.0,HOME_COVER,UNDER
2022_06_NYJ_GB,2022,6,2022-10-16,NYJ,GB,59.2,77.6,81.6,71.5,4.0,12.299999999999997,8.299999999999997,7.5,44.5,27.0,10.0,-17.0,-17.0,AWAY_COVER,UNDER
2022_06_JAX_IND,2022,6,2022-10-16,JAX,IND,72.8,62.9,76.5,62.5,13.600000000000001,-10.299999999999997,-23.9,1.0,41.0,27.0,34.0,7.0,7.0,HOME_COVER,OVER
2022_06_MIN_MIA,2022,6,2022-10-16,MIN,MIA,66.6,59.2,75.2,80.4,16.0,13.800000000000011,-2.1999999999999886,-3.0,45.0,24.0,16.0,-8.0,-8.0,AWAY_COVER,UNDER
2022_06_CIN_NO,2022,6,2022-10-16,CIN,NO,56.1,61.7,70.8,67.0,9.099999999999994,10.899999999999999,1.8000000000000043,-3.0,42.5,30.0,26.0,-4.0,-4.0,AWAY_COVER,OVER
2022_06_TB_PIT,2022,6,2022-10-16,TB,PIT,75.0,69.5,64.3,67.6,-5.200000000000003,-7.400000000000006,-2.200000000000003,-10.0,47.0,18.0,20.0,2.0,2.0,HOME_COVER,UNDER
2022_06_CAR_LA,2022,6,2022-10-16,CAR,LA,72.8,62.0,68.2,67.1,6.200000000000003,-5.700000000000003,-11.900000000000006,10.0,41.5,10.0,24.0,14.0,14.0,HOME_COVER,UNDER
2022_06_BUF_KC,2022,6,2022-10-16,BUF,KC,64.1,73.6,78.8,75.3,5.200000000000003,11.200000000000003,6.0,-2.5,54.0,24.0,20.0,-4.0,-4.0,AWAY_COVER,UNDER
2022_06_DAL_PHI,2022,6,2022-10-16,DAL,PHI,69.6,84.9,84.5,90.1,-0.4000000000000057,20.5,20.900000000000006,6.5,42.5,17.0,26.0,9.0,9.0,HOME_COVER,OVER
2022_06_DEN_LAC,2022,6,2022-10-17,DEN,LAC,66.9,67.0,66.4,68.2,-0.5999999999999943,1.2999999999999972,1.8999999999999915,3.5,45.5,16.0,19.0,3.0,3.0,AWAY_COVER,UNDER
2022_07_TB_CAR,2022,7,2022-10-23,TB,CAR,75.0,72.8,64.3,68.2,-8.5,-6.799999999999997,1.7000000000000028,-13.0,39.5,3.0,21.0,18.0,18.0,HOME_COVER,UNDER
2022_07_ATL_CIN,2022,7,2022-10-23,ATL,CIN,73.2,56.1,54.1,70.8,-2.0,-2.4000000000000057,-0.4000000000000057,6.5,47.5,17.0,35.0,18.0,18.0,HOME_COVER,OVER
2022_07_DET_DAL,2022,7,2022-10-23,DET,DAL,63.4,69.6,71.2,84.5,1.6000000000000085,21.1,19.499999999999993,7.0,49.5,6.0,24.0,18.0,18.0,HOME_COVER,UNDER
2022_07_NYG_JAX,2022,7,2022-10-23,NYG,JAX,62.0,72.8,68.8,76.5,-4.0,14.5,18.5,3.0,44.0,23.0,17.0,-6.0,-6.0,AWAY_COVER,UNDER
