team,season,week,off_epa_per_play,def_epa_per_play,plays_offensive,plays_defensive,data_source
MIA,2024,13,-0.042470138520002365,-0.0156498271971941,893,873,rolling
MIA,2024,14,-0.03151378780603409,0.0067462921142578125,982,945,rolling
MIA,2024,15,-0.009969177655875683,0.023409979417920113,1072,1033,rolling
MIA,2024,16,-0.02136809751391411,0.015312000177800655,1155,1098,rolling
MIA,2024,17,-0.007225438021123409,0.014917670749127865,1235,1183,rolling
MIA,2024,18,-0.011242657899856567,-0.006942007690668106,1310,1275,rolling
MIA,2025,1,-0.014734195545315742,-0.002507920376956463,1397,1354,previous_season
MIA,2025,2,-0.1589336395263672,0.2513866722583771,56,85,rolling
MIA,2025,3,-0.024148311465978622,0.219801664352417,134,163,rolling
MIA,2025,4,0.008886069059371948,0.22007767856121063,209,237,rolling
MIA,2025,5,0.05212955176830292,0.18337060511112213,282,317,rolling
MIA,2025,6,0.06617533415555954,0.16840305924415588,354,406,rolling
MIA,2025,7,0.06535020470619202,0.16155339777469635,431,490,rolling
MIA,2025,8,-0.006916397716850042,0.1335313320159912,507,563,rolling
MIA,2025,9,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,10,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,11,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,12,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,13,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,14,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,15,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,16,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,17,0.019051846116781235,0.09533172845840454,591,629,rolling
MIA,2025,18,0.019051846116781235,0.09533172845840454,591,629,rolling
MIN,2022,1,0.0,0.0,0,0,no_data
MIN,2022,2,0.08175316452980042,-0.17087678611278534,78,74,rolling
MIN,2022,3,-0.04831415042281151,-0.052290741354227066,150,162,rolling
MIN,2022,4,-0.05334562435746193,-0.057907771319150925,236,257,rolling
MIN,2022,5,0.0016815254930406809,-0.01584591157734394,328,335,rolling
MIN,2022,6,0.019967861473560333,-0.002717372728511691,423,398,rolling
MIN,2022,7,0.007645131088793278,-0.0309342872351408,495,491,rolling
MIN,2022,8,0.007645131088793278,-0.0309342872351408,495,491,rolling
MIN,2022,9,0.010497130453586578,-0.031008677557110786,585,586,rolling
MIN,2022,10,0.010050659999251366,-0.033627014607191086,668,664,rolling
MIN,2022,11,0.012885216623544693,-0.032215699553489685,769,760,rolling
MIN,2022,12,-0.017030974850058556,-0.001696488936431706,848,845,rolling
MIN,2022,13,-0.005958619061857462,0.0023055619094520807,938,916,rolling
MIN,2022,14,-0.0049139391630887985,0.0009065819322131574,1027,1016,rolling
