game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score
2022_09_MIA_CHI,2022,9,MIA,CHI,-6.938893903907228e-17,0.0,3,3,-6.938893903907228e-17,0,0,2,2,1,0,0,0,-1.6375417604509388
2022_09_CAR_CIN,2022,9,CAR,CIN,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,3,5,0,0,0,0,1.332403186002306
2022_09_GB_DET,2022,9,GB,DET,-9.71445146547012e-17,-6.938893903907228e-17,2,0,-2.7755575615628914e-17,0,1,3,5,0,0,0,0,-0.6475601116331906
2022_09_LV_JAX,2022,9,LV,JAX,0.0,0.0,0,0,0.0,1,1,5,5,0,0,0,0,0.01242765424530827
2022_09_IND_NE,2022,9,IND,NE,-5.551115123125783e-17,0.0,2,1,-5.551115123125783e-17,0,0,2,3,0,0,0,0,-1.3075478775116893
2022_09_BUF_NYJ,2022,9,BUF,NYJ,-5.551115123125783e-17,0.0,0,0,-5.551115123125783e-17,1,1,5,5,0,0,0,0,-1.3075478775116893
2022_09_MIN_WAS,2022,9,MIN,WAS,-5.551115123125783e-17,0.0,3,5,-5.551115123125783e-17,0,0,3,1,0,0,0,0,-1.3075478775116893
2022_09_SEA_ARI,2022,9,SEA,ARI,-2.7755575615628914e-17,0.0,1,2,-2.7755575615628914e-17,0,0,3,3,0,0,0,0,-0.6475601116331906
2022_09_LA_TB,2022,9,LA,TB,-5.551115123125783e-17,-8.326672684688674e-17,3,0,2.7755575615628914e-17,0,1,2,5,0,0,0,0,0.6724154201238071
2022_09_TEN_KC,2022,9,TEN,KC,0.0,-5.551115123125783e-17,3,4,5.551115123125783e-17,0,0,3,2,0,0,0,0,1.332403186002306
2022_09_BAL_NO,2022,9,BAL,NO,-8.326672684688674e-17,0.0,3,3,-8.326672684688674e-17,0,0,3,2,0,1,0,0,-1.9675356433901883
2022_10_ATL_CAR,2022,10,ATL,CAR,-5.551115123125783e-17,-2.7755575615628914e-17,0,0,-2.7755575615628914e-17,1,1,5,5,0,0,0,0,-0.6475601116331906
2022_10_SEA_TB,2022,10,SEA,TB,-8.326672684688674e-17,-3.469446951953614e-17,0,3,-4.85722573273506e-17,1,0,5,3,0,0,0,0,-1.1425509360420647
2022_10_MIN_BUF,2022,10,MIN,BUF,-8.326672684688674e-17,-9.71445146547012e-17,0,3,1.3877787807814457e-17,1,0,5,2,0,0,0,0,0.3424215371845577
2022_10_DET_CHI,2022,10,DET,CHI,-2.7755575615628914e-17,-5.551115123125783e-17,0,2,2.7755575615628914e-17,1,0,5,3,0,0,0,0,0.6724154201238071
2022_10_JAX_KC,2022,10,JAX,KC,-2.7755575615628914e-17,0.0,0,3,-2.7755575615628914e-17,1,0,5,2,0,0,0,0,-0.6475601116331906
2022_10_CLE_MIA,2022,10,CLE,MIA,-5.551115123125783e-17,-5.551115123125783e-17,5,0,0.0,0,1,1,5,0,1,0,0,0.01242765424530827
2022_10_HOU_NYG,2022,10,HOU,NYG,0.0,0.0,3,0,0.0,0,1,3,5,0,0,0,0,0.01242765424530827
2022_10_NO_PIT,2022,10,NO,PIT,-1.3877787807814457e-17,-5.551115123125783e-17,3,0,4.163336342344337e-17,0,1,1,5,1,0,0,0,1.0024093030630565
2022_10_DEN_TEN,2022,10,DEN,TEN,-5.551115123125783e-17,0.0,1,3,-5.551115123125783e-17,0,0,4,3,1,0,0,0,-1.3075478775116893
2022_10_IND_LV,2022,10,IND,LV,-6.938893903907228e-18,-5.551115123125783e-17,3,3,4.85722573273506e-17,0,0,3,3,0,0,0,0,1.1674062445326812
2022_10_DAL_GB,2022,10,DAL,GB,0.0,0.0,3,3,0.0,0,0,3,2,0,0,0,0,0.01242765424530827
2022_10_ARI_LA,2022,10,ARI,LA,-8.326672684688674e-17,-5.551115123125783e-17,2,2,-2.7755575615628914e-17,0,0,1,2,0,0,0,0,-0.6475601116331906
2022_10_LAC_SF,2022,10,LAC,SF,0.0,-6.938893903907228e-17,1,0,6.938893903907228e-17,0,1,4,5,0,0,0,0,1.6623970689415553
2022_10_WAS_PHI,2022,10,WAS,PHI,-2.7755575615628914e-17,-1.3877787807814457e-17,0,3,-1.3877787807814457e-17,1,0,5,3,0,0,0,0,-0.31756622869394113
2022_11_TEN_GB,2022,11,TEN,GB,-5.551115123125783e-17,0.0,3,0,-5.551115123125783e-17,0,1,2,5,1,0,0,0,-1.3075478775116893
2022_11_CHI_ATL,2022,11,CHI,ATL,0.0,-6.245004513516506e-17,0,1,6.245004513516506e-17,1,0,5,4,0,0,0,0,1.4974001274719306
2022_11_CAR_BAL,2022,11,CAR,BAL,-8.326672684688674e-17,-5.551115123125783e-17,0,5,-2.7755575615628914e-17,1,0,5,1,0,0,0,0,-0.6475601116331906
2022_11_CLE_BUF,2022,11,CLE,BUF,-9.71445146547012e-17,0.0,4,3,-9.71445146547012e-17,0,0,1,2,1,0,0,0,-2.2975295263294377
2022_11_WAS_HOU,2022,11,WAS,HOU,-2.7755575615628914e-17,0.0,0,5,-2.7755575615628914e-17,1,0,5,1,0,0,0,0,-0.6475601116331906
2022_11_PHI_IND,2022,11,PHI,IND,-2.7755575615628914e-17,0.0,3,5,-2.7755575615628914e-17,0,0,3,1,0,0,0,0,-0.6475601116331906
