game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,home_covered,spread_result,over_hit,total_result
2025_05_NYG_NO,2025,5,NYG,NO,1.5,41.5,1.5000000000000018,41.499999999999986,15.123944459035812,17.727497736567333,1.976,7.561972229517906,15.134,8.863748868283666,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5215,0.429,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,26.0,14.0,12.0,40.0,1.0,,0.0,1.0
2025_05_DAL_NYJ,2025,5,DAL,NYJ,1.5,48.5,1.385952000000008,48.61404800000001,19.26607626844906,18.54788465776343,-6.663,9.710017044269284,18.025,9.341914953584196,0.125,0.875,0.4489795918367347,0.5510204081632653,0.414,0.456,isotonic,AWAY,0.351,HIGH,UNDER,0.02702040816326523,LOW,22.0,37.0,-15.0,59.0,0.0,1.0,1.0,0.0
2025_05_DEN_PHI,2025,5,DEN,PHI,3.5,44.5,3.5246314334183717,44.524631433418385,15.080120575537016,12.596098371234481,11.3485,12.729220233384291,37.4315,10.627431851110597,0.7777777777777778,0.2222222222222222,0.59375,0.40625,0.4935,0.4945,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.06974999999999998,HIGH,17.0,21.0,-4.0,38.0,0.0,0.0,0.0,0.0
2025_05_TEN_ARI,2025,5,TEN,ARI,7.5,41.5,7.500000000000007,41.499999999999986,15.155855337129609,16.156375552703647,3.5035,7.577927668564803,11.3865,8.078187776351822,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.4785,0.4495,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,21.0,22.0,-1.0,43.0,0.0,,1.0,0.0
2025_05_TB_SEA,2025,5,TB,SEA,3.5,44.5,3.5012411754957737,44.50124117549577,12.137088511944953,11.290444432602106,4.0645,12.346875708048575,45.2575,11.48460681738822,0.4857142857142857,0.5142857142857142,0.99,0.010000000000000009,0.488,0.4565,isotonic,,0.0,,OVER,0.46599999999999997,HIGH,35.0,38.0,-3.0,73.0,0.0,,1.0,1.0
2025_05_DET_CIN,2025,5,DET,CIN,-10.5,49.5,-10.513677201447535,49.513677201447514,12.32444183165847,12.131289108468842,-28.567,9.317537818544125,37.305,9.167277403896971,0.01,0.99,0.4489795918367347,0.5510204081632653,0.575,0.4865,isotonic,AWAY,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,24.0,37.0,-13.0,61.0,0.0,1.0,1.0,0.0
2025_05_WAS_LAC,2025,5,WAS,LAC,2.5,47.5,2.467127479438803,47.5328725205612,14.085939125111025,12.809073663715084,-11.068,12.319633760790131,41.34,11.197338969594517,0.07811547708641856,0.9218845229135815,0.59375,0.40625,0.514,0.542,isotonic,AWAY,0.39788452291358145,HIGH,OVER,0.06974999999999998,HIGH,10.0,27.0,-17.0,37.0,0.0,1.0,0.0,0.0
2025_05_NE_BUF,2025,5,NE,BUF,7.5,49.5,7.50105893249177,49.501058932491766,14.042929560593171,12.890010539615188,7.16,12.407272061174448,43.728,11.389118315304305,0.4857142857142857,0.5142857142857142,0.59375,0.40625,0.416,0.4825,isotonic,,0.0,,OVER,0.06974999999999998,HIGH,20.0,23.0,-3.0,43.0,0.0,,0.0,0.0
2025_05_KC_JAX,2025,5,KC,JAX,-3.5,45.5,-3.5372688962080856,45.53726889620809,15.579167274687242,14.153155424367155,-9.082,12.22379957296421,35.523,11.091639689423742,0.4857142857142857,0.5142857142857142,0.4666666666666667,0.5333333333333333,0.511,0.4345,isotonic,,0.0,,UNDER,0.009333333333333305,LOW,31.0,28.0,3.0,59.0,1.0,,1.0,0.0
2025_06_PHI_NYG,2025,6,PHI,NYG,-7.0,40.5,-7.098170111626146,40.59817011162614,20.242147087156365,18.38898834448387,-4.793,10.631799048138559,21.142,9.663324272733478,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.4985,0.4055,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,34.0,17.0,17.0,51.0,1.0,,1.0,0.0
2025_06_DEN_NYJ,2025,6,DEN,NYJ,-7.5,43.5,-7.102704140577149,43.897295859422854,15.846123472502187,14.203589848390127,15.387,11.101001351229536,29.386,9.976021451460499,0.99,0.010000000000000009,0.4489795918367347,0.5510204081632653,0.475,0.4595,isotonic,HOME,0.46599999999999997,HIGH,UNDER,0.02702040816326523,LOW,11.0,13.0,-2.0,24.0,1.0,1.0,0.0,1.0
2025_06_LA_BAL,2025,6,LA,BAL,-7.0,43.5,-6.965274188917602,43.5347258110824,12.732390049630633,10.460067075682169,8.4365,13.82920705427466,47.0205,11.367589003390297,0.99,0.010000000000000009,0.99,0.010000000000000009,0.4775,0.517,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.46599999999999997,HIGH,3.0,17.0,-14.0,20.0,0.0,0.0,0.0,0.0
2025_06_DAL_CAR,2025,6,DAL,CAR,-3.0,47.5,-3.309756822183097,47.809756822183104,19.185191078438944,18.181600384543206,-14.483,10.590076062049791,25.56,10.060487065743885,0.08467566904454601,0.915324330955454,0.4489795918367347,0.5510204081632653,0.5555,0.5035,isotonic,AWAY,0.39132433095545394,HIGH,UNDER,0.02702040816326523,LOW,30.0,27.0,3.0,57.0,1.0,0.0,1.0,0.0
2025_06_ARI_IND,2025,6,ARI,IND,8.5,46.5,8.502705668912013,46.50270566891201,12.352936636724104,10.883677601239926,20.1415,12.886988699847612,48.4705,11.348529849720624,0.7777777777777778,0.2222222222222222,0.99,0.010000000000000009,0.562,0.574,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.46599999999999997,HIGH,31.0,27.0,4.0,58.0,0.0,0.0,1.0,1.0
