game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,spread_result,total_result
2023_12_CAR_TEN,2023,12,CAR,TEN,3.5,36.0,3.7474999999999987,36.2475,15.357383199946534,16.72503568755535,7.12,7.845100381766954,14.88,8.517370486247502,0.5287331695106037,0.4712668304893963,0.4507800652956946,0.5492199347043054,0.41,0.45,linear,HOME,0.004733169510603652,LOW,UNDER,0.02521993470430539,LOW,17.0,10.0,7.0,27.0,1.0,1.0
2023_12_LA_ARI,2023,12,LA,ARI,-3.0,45.0,-3.1124172303310793,45.11241723033108,13.80312999447597,16.137499861799746,-14.89,8.713087856781888,28.09,10.240209958785025,0.26386151263414437,0.7361384873658556,0.40316173200448946,0.5968382679955105,0.55,0.39,linear,AWAY,0.2121384873658556,HIGH,UNDER,0.07283826799551052,HIGH,14.0,37.0,-23.0,51.0,1.0,0.0
2023_12_CLE_DEN,2023,12,CLE,DEN,1.5,37.5,1.5117152103559863,37.511715210355995,8.427568612708104,9.469345367960763,29.8,8.36540495134575,37.08,9.383687974352087,0.9681845889215253,0.03181541107847474,0.8596510371149382,0.14034896288506182,0.47,0.45,linear,HOME,0.25,HIGH,OVER,0.25,HIGH,29.0,12.0,17.0,41.0,1.0,1.0
2023_12_KC_LV,2023,12,KC,LV,-9.0,42.5,-8.999999999999995,42.49999999999998,12.550442011170636,12.185725422240091,2.44,11.144792505919526,37.74,10.820924174949198,0.8244776149269881,0.17552238507301188,0.6943546761845083,0.3056453238154917,0.47,0.49,linear,HOME,0.25,HIGH,OVER,0.17035467618450828,HIGH,17.0,31.0,-14.0,48.0,0.0,1.0
2023_12_BUF_PHI,2023,12,BUF,PHI,2.5,49.0,2.4891027038813824,49.01089729611861,15.261364727316847,11.370359959360936,0.3,14.30279692927226,45.86,10.658348840228491,0.4353323207917883,0.5646676792082117,0.633503408077948,0.366496591922052,0.43,0.5,linear,AWAY,0.04066767920821168,MEDIUM,OVER,0.109503408077948,HIGH,37.0,34.0,3.0,71.0,0.0,1.0
2023_12_BAL_LAC,2023,12,BAL,LAC,-3.0,49.0,-3.0000000000000027,49.00000000000002,14.466613904238542,14.010439722154599,10.19,13.182332873964304,44.65,12.766655787636793,0.7482403884101542,0.25175961158984583,0.5912224882215775,0.4087775117784225,0.54,0.5,linear,HOME,0.22424038841015415,HIGH,OVER,0.0672224882215775,HIGH,10.0,20.0,-10.0,30.0,0.0,0.0
2023_12_CHI_MIN,2023,12,CHI,MIN,3.0,43.5,3.106994117647058,43.606994117647055,13.6090770146774,17.271362183560065,6.93,9.422584571124846,29.75,11.932623349456732,0.540450080521101,0.459549919478899,0.4979020947881134,0.5020979052118866,0.54,0.49,linear,HOME,0.016450080521100974,LOW,,0.0,,10.0,12.0,-2.0,22.0,0.0,
2023_13_SEA_DAL,2023,13,SEA,DAL,9.5,47.5,9.41872675250357,47.581273247496426,15.245900491760043,13.41610235437146,0.3,13.615065185301171,41.94,11.89018082284706,0.246616801803608,0.753383198196392,0.5962717659133508,0.40372823408664915,0.47,0.54,linear,AWAY,0.22938319819639197,HIGH,OVER,0.07227176591335083,HIGH,41.0,35.0,6.0,76.0,1.0,1.0
2023_13_DEN_HOU,2023,13,DEN,HOU,3.5,47.5,3.296666666666669,47.70333333333335,18.53991138961309,18.567351305431647,-0.9,10.669114302508902,27.0,10.712609392673663,0.3533778648303154,0.6466221351696846,0.2995035338653381,0.7004964661346619,0.53,0.58,linear,AWAY,0.12262213516968457,HIGH,UNDER,0.17649646613466186,HIGH,22.0,17.0,5.0,39.0,0.0,1.0
2023_13_LAC_NE,2023,13,LAC,NE,-4.5,38.5,-4.65485,38.65485,13.50290128463139,15.80151567421619,-14.42,7.841147875151954,22.0,9.2097774131626,0.31697206471839157,0.6830279352816084,0.5221670159783554,0.47783298402164465,0.56,0.41,linear,AWAY,0.1590279352816084,HIGH,,0.0,,0.0,6.0,-6.0,6.0,1.0,
2023_13_DET_NO,2023,13,DET,NO,-4.0,47.5,-4.055307646356031,47.555307646356034,13.865206644022585,12.267140398943193,-13.27,12.370008084071733,41.85,10.859442895471203,0.3862214758550282,0.6137785241449718,0.6033810218965459,0.39661897810345415,0.43,0.62,linear,AWAY,0.08977852414497178,HIGH,OVER,0.07938102189654583,HIGH,28.0,33.0,-5.0,61.0,1.0,1.0
2023_13_ATL_NYJ,2023,13,ATL,NYJ,-2.0,33.0,-2.222155688622757,33.222155688622756,14.449386835819562,14.810734584174844,-12.46,8.953680807355152,20.04,9.194476602830637,0.283920021159496,0.716079978840504,0.7026889178646866,0.29731108213531343,0.52,0.56,linear,AWAY,0.19207997884050398,HIGH,OVER,0.17868891786468655,HIGH,8.0,13.0,-5.0,21.0,1.0,0.0
2023_13_ARI_PIT,2023,13,ARI,PIT,6.0,41.0,6.000000000000004,41.00000000000002,17.391618671072568,19.440277775793223,2.73,8.695809335536284,14.33,9.720138887896612,0.30477170442474444,0.6952282955752556,0.2562047654307985,0.7437952345692015,0.51,0.38,linear,AWAY,0.17122829557525554,HIGH,UNDER,0.21979523456920147,HIGH,10.0,24.0,-14.0,34.0,1.0,1.0
2023_13_IND_TEN,2023,13,IND,TEN,-1.5,42.0,-1.3314534627260741,42.16854653727394,18.02800449889438,19.211528530716464,0.49,9.819872707932625,22.67,10.483372548946258,0.5719118500176434,0.42808814998235656,0.4018622758810064,0.5981377241189936,0.42,0.54,linear,HOME,0.04791185001764342,MEDIUM,UNDER,0.07413772411899355,HIGH,28.0,31.0,-3.0,59.0,0.0,0.0
2023_13_MIA_WAS,2023,13,MIA,WAS,-8.5,50.0,-8.500000000000002,49.99999999999999,15.296621687042133,13.400772095564506,-21.68,11.295025453711911,36.92,9.89513011536483,0.36562985812302773,0.6343701418769723,0.40149307667832057,0.5985069233216794,0.54,0.45,linear,AWAY,0.11037014187697225,HIGH,UNDER,0.07450692332167941,HIGH,15.0,45.0,-30.0,60.0,1.0,0.0
2023_13_CAR_TB,2023,13,CAR,TB,4.0,37.0,4.160999999999998,37.161,14.265885847012795,16.720891692729786,7.55,7.255859700958943,16.17,8.467650205340323,0.5170969401557659,0.4829030598442341,0.43820378371522173,0.5617962162847783,0.42,0.45,linear,,0.0,,UNDER,0.03779621628477825,MEDIUM,21.0,18.0,3.0,39.0,,0.0
2023_13_CLE_LA,2023,13,CLE,LA,3.5,39.5,3.5513912063134154,39.55139120631342,11.696405518698432,8.966284275932779,29.47,13.292445222757173,44.35,10.16698086946169,0.8419796685133909,0.1580203314866091,0.8863275602492044,0.11367243975079555,0.53,0.54,linear,HOME,0.25,HIGH,OVER,0.25,HIGH,36.0,19.0,17.0,55.0,1.0,1.0
2023_13_SF_PHI,2023,13,SF,PHI,-3.0,46.5,-3.0000000000000013,46.50000000000001,11.798912756970193,8.658974380154328,-1.8,14.173919711921611,55.86,10.401942126353136,0.555331377514835,0.44466862248516503,0.8726132925880616,0.12738670741193836,0.52,0.61,linear,HOME,0.031331377514834946,MEDIUM,OVER,0.25,HIGH,19.0,42.0,-23.0,61.0,0.0,1.0
2023_13_KC_GB,2023,13,KC,GB,-5.5,43.5,-5.473851553509782,43.526148446490225,12.40015032665464,12.591978619496224,-0.27,12.456207287934799,43.45,12.592358794125904,0.6661002292013991,0.3338997707986009,0.7311328462184927,0.2688671537815073,0.56,0.46,linear,HOME,0.1421002292013991,HIGH,OVER,0.2071328462184927,HIGH,27.0,19.0,8.0,46.0,1.0,1.0
2023_13_CIN_JAX,2023,13,CIN,JAX,10.0,41.0,10.0,40.99999999999999,17.645157976056772,19.323136391383258,1.39,8.822578988028386,16.71,9.661568195691629,0.14835973291108084,0.8516402670889192,0.30208841434352385,0.6979115856564762,0.44,0.53,linear,AWAY,0.25,HIGH,UNDER,0.17391158565647613,HIGH,31.0,34.0,-3.0,65.0,1.0,0.0
2023_14_NE_PIT,2023,14,NE,PIT,6.0,30.0,6.000000000000004,30.00000000000001,14.308193456897348,15.444494164588235,2.83,7.154096728448674,10.87,7.722247082294118,0.2700024686835182,0.7299975313164818,0.6345922928303975,0.36540770716960247,0.48,0.42,linear,AWAY,0.2059975313164818,HIGH,OVER,0.11059229283039751,HIGH,18.0,21.0,-3.0,39.0,1.0,1.0
2023_14_TB_ATL,2023,14,TB,ATL,1.5,41.5,1.4369104283859733,41.56308957161403,16.98220697543589,17.698412024603872,-0.57,9.495530527569272,23.11,9.900398981859267,0.4237750776628677,0.5762249223371323,0.42571883799784893,0.5742811620021511,0.52,0.45,linear,AWAY,0.052224922337132273,MEDIUM,UNDER,0.05028116200215105,MEDIUM,25.0,29.0,-4.0,54.0,1.0,0.0
2023_14_LA_BAL,2023,14,LA,BAL,7.5,42.0,7.430851685393264,42.06914831460674,13.978743341876203,9.793098948227085,-5.38,14.955788177157364,44.5,10.469479452198184,0.23981985257326288,0.7601801474267371,0.8268364402288648,0.17316355977113518,0.43,0.49,linear,AWAY,0.2361801474267371,HIGH,OVER,0.25,HIGH,37.0,31.0,6.0,68.0,1.0,1.0
2023_14_DET_CHI,2023,14,DET,CHI,-3.0,44.5,-2.9999999999999987,44.49999999999999,16.41196732138531,15.305975182087957,-14.13,11.296596832674876,30.63,10.535326288255149,0.32684170159594306,0.6731582984040569,0.4787941944029356,0.5212058055970644,0.53,0.47,linear,AWAY,0.14915829840405692,HIGH,,0.0,,28.0,13.0,15.0,41.0,0.0,
