game_id,season,week,away_team,home_team,spread_line,total_line,p_home_cover,p_over,actual_spread,actual_total,home_covered,over_hit,has_pff
2024_07_DET_MIN,2024,7,DET,MIN,-1.0,50.5,0.52,0.46,-2.0,60.0,0.0,1.0,True
2024_07_PHI_NYG,2024,7,PHI,NYG,3.0,42.0,0.48,0.56,-25.0,31.0,0.0,0.0,True
2024_07_CAR_WAS,2024,7,CAR,WAS,-9.5,51.0,0.56,0.54,33.0,47.0,1.0,0.0,True
2024_07_KC_SF,2024,7,KC,SF,-2.0,47.5,0.5,0.36,-10.0,46.0,0.0,0.0,True
2024_07_NYJ_PIT,2024,7,NYJ,PIT,2.0,40.0,0.48,0.52,22.0,52.0,1.0,1.0,True
2024_07_BAL_TB,2024,7,BAL,TB,3.5,51.0,0.44,0.44,-10.0,72.0,0.0,1.0,False
2024_07_LAC_ARI,2024,7,LAC,ARI,1.5,44.0,0.52,0.54,2.0,32.0,1.0,0.0,False
2024_08_PHI_CIN,2024,8,PHI,CIN,-2.5,47.5,0.56,0.56,-20.0,54.0,0.0,1.0,True
2024_08_BAL_CLE,2024,8,BAL,CLE,8.5,44.5,0.46,0.42,5.0,53.0,0.0,1.0,False
2024_08_TEN_DET,2024,8,TEN,DET,-11.5,45.0,0.52,0.5,38.0,66.0,1.0,1.0,True
2024_08_IND_HOU,2024,8,IND,HOU,-5.0,45.0,0.52,0.46,3.0,43.0,1.0,0.0,False
2024_08_GB_JAX,2024,8,GB,JAX,4.0,49.0,0.68,0.44,-3.0,57.0,0.0,1.0,True
2024_08_ARI_MIA,2024,8,ARI,MIA,-4.5,46.5,0.66,0.5,-1.0,55.0,1.0,1.0,False
2024_08_NYJ_NE,2024,8,NYJ,NE,7.0,41.0,0.46,0.4,3.0,47.0,0.0,1.0,True
2024_08_ATL_TB,2024,8,ATL,TB,2.5,47.0,0.54,0.58,-5.0,57.0,0.0,1.0,True
2024_08_NO_LAC,2024,8,NO,LAC,-7.0,41.5,0.56,0.54,18.0,34.0,1.0,0.0,True
2024_08_BUF_SEA,2024,8,BUF,SEA,3.0,45.5,0.54,0.44,-21.0,41.0,0.0,0.0,True
2024_08_CAR_DEN,2024,8,CAR,DEN,-11.0,40.5,0.44,0.56,14.0,42.0,1.0,1.0,True
2024_08_KC_LV,2024,8,KC,LV,9.5,42.0,0.62,0.46,-7.0,47.0,0.0,1.0,True
2024_08_CHI_WAS,2024,8,CHI,WAS,1.0,46.5,0.5,0.44,3.0,33.0,1.0,0.0,True
2024_08_DAL_SF,2024,8,DAL,SF,-4.5,48.0,0.42,0.52,6.0,54.0,1.0,1.0,True
2024_08_NYG_PIT,2024,8,NYG,PIT,-6.0,37.5,0.52,0.56,8.0,44.0,1.0,1.0,True
