away,home,pred_score,actual_score,winner_correct,spread_error,total_error,model_spread,actual_margin,model_total,actual_total,spread_bet_correct,week
LAC,NYG,26.7-25.6,18-21,False,4.121869648380225,13.212246877704231,-1.1218696483802255,3,52.21224687770423,39,False,4
PHI,TB,30.2-27.2,31-25,True,3.152640939712794,1.4497676053855884,-2.847359060287206,-6,57.44976760538559,56,False,4
IND,LA,41.0-37.1,20-27,False,10.968111614473152,31.02191331139825,-3.968111614473152,7,78.02191331139825,47,False,4
JAX,SF,22.8-24.6,26-21,False,6.863540276397201,0.4425361206716829,1.863540276397201,-5,47.44253612067168,47,True,4
BAL,KC,17.1-33.7,20-37,True,0.3780548743841514,6.214329354627765,16.62194512561585,17,50.785670645372235,57,False,4
CHI,LV,23.7-16.9,25-24,True,5.8978020666807645,8.4508897957651,-6.8978020666807645,-1,40.5491102042349,49,False,4
GB,DAL,30.1-41.7,40-40,False,11.642485057712094,8.156415779718316,11.642485057712094,0,71.84358422028168,80,False,4
NYJ,MIA,23.4-30.4,21-27,True,1.0438828939295943,5.670464109967206,7.043882893929594,6,53.670464109967206,48,False,4
SF,LA,23.4-37.1,26-23,False,16.71093209833505,11.37986487841831,13.710932098335048,-3,60.37986487841831,49,True,5
MIN,CLE,19.9-17.7,21-17,True,1.8568067582929624,0.3090517509500472,-2.1431932417070376,-4,37.69094824904995,38,False,5
NYG,NO,28.6-17.8,14-26,False,22.77541981185301,6.351764813381372,-10.77541981185301,12,46.35176481338137,40,True,5
DAL,NYJ,34.3-21.1,37-22,True,1.7665638367330576,3.4801974152296324,-13.233436163266942,-15,55.51980258477037,59,True,5
DEN,PHI,29.0-29.5,21-17,False,4.596776153533442,20.466824357747953,0.5967761535334425,-4,58.46682435774795,38,False,5
MIA,CAR,28.1-24.7,24-27,False,6.372605295458413,1.7860407856043992,-3.372605295458414,3,52.7860407856044,51,True,5
TEN,ARI,14.8-27.7,22-21,False,13.810269904635511,0.4660552163768869,12.810269904635511,-1,42.53394478362311,43,True,5
TB,SEA,28.1-33.7,38-35,False,8.54829439750663,11.199512426372586,5.5482943975066314,-3,61.800487573627414,73,True,5
DET,CIN,36.1-35.5,37-24,True,12.363723666785688,10.503301000492655,-0.6362763332143119,-13,71.50330100049266,61,True,5
WAS,LAC,30.2-33.2,27-10,False,19.876555601506674,26.289098662564953,2.876555601506672,-17,63.28909866256495,37,True,5
NE,BUF,27.4-28.6,23-20,False,4.212177083209749,12.821909786452425,1.2121770832097485,-3,55.82190978645242,43,False,5
KC,JAX,38.1-24.4,28-31,False,16.68962211606324,3.4378224908937227,-13.68962211606324,3,62.43782249089372,59,True,5
PHI,NYG,28.2-25.6,17-34,False,19.60461186988617,2.9571113033573937,-2.604611869886171,17,53.957111303357394,51,True,6
DEN,NYJ,28.9-21.1,13-11,True,5.978278665734365,25.99071035802718,-7.978278665734365,-2,49.99071035802718,24,False,6
ARI,IND,26.4-42.4,27-31,True,12.076793182574214,10.804626054917035,16.076793182574214,4,68.80462605491704,58,False,6
LAC,MIA,31.5-30.4,29-27,True,0.9883493506589632,5.895894245302259,-1.0116506493410369,-2,61.89589424530226,56,False,6
NE,NO,32.2-17.8,25-19,True,8.3633275671979,5.974389106980446,-14.3633275671979,-6,49.974389106980446,44,True,6
CLE,PIT,19.3-34.1,9-23,True,0.7260041510534592,21.315273385519347,14.72600415105346,14,53.31527338551935,32,True,6
DAL,CAR,39.0-24.7,27-30,False,17.200481176342116,6.552806479933203,-14.200481176342114,3,63.5528064799332,57,True,6
SEA,JAX,32.0-24.4,20-12,True,0.3481468680139281,24.27002823006412,-7.651853131986072,-8,56.27002823006412,32,True,6
LA,BAL,30.1-18.3,17-3,True,2.285933276321993,28.53741611201701,-11.714066723678007,-14,48.537416112017006,20,False,6
TEN,LV,14.8-16.9,10-20,True,7.840005683348404,1.5813630512619987,2.159994316651596,10,31.581363051262,30,True,6
CIN,GB,34.2-31.4,18-27,False,11.830015838965464,20.693240478008605,-2.8300158389654655,9,65.6932404780086,45,True,6
SF,TB,20.9-27.2,19-30,True,4.669344675990622,0.7560191052998064,6.330655324009378,11,48.243980894700194,49,True,6
DET,KC,30.7-33.7,17-30,True,10.073309585921644,17.400541075121936,2.9266904140783567,13,64.40054107512194,47,False,6
BUF,ATL,32.1-21.8,14-24,False,20.140946396991744,16.014997957773843,-10.140946396991744,10,54.01499795777384,38,True,6
CHI,WAS,20.2-27.2,25-24,False,8.074686098395802,1.700182643026686,7.074686098395801,-1,47.299817356973314,49,False,6
PIT,CIN,32.8-35.5,31-33,True,0.7346495297077298,4.353213442236495,2.73464952970773,2,68.3532134422365,64,False,7
NO,CHI,14.0-21.4,14-26,True,4.631487337787247,4.509391058899787,7.368512662212753,12,35.49060894110021,40,False,7
NE,TEN,32.2-16.1,31-13,True,1.9875845967273484,4.226066374986608,-16.01241540327265,-18,48.22606637498661,44,False,7
PHI,MIN,33.2-24.7,28-22,True,2.5344481014250277,7.950468575664637,-8.534448101425028,-6,57.95046857566464,50,True,7
CAR,NYJ,20.7-21.1,13-6,False,7.47833645971233,22.800337032426157,0.4783364597123297,-7,41.80033703242616,19,True,7
NYG,DEN,28.5-35.4,32-33,True,5.971341966491623,0.9804271751790026,6.971341966491623,1,64.019572824821,65,False,7
IND,LAC,41.0-33.2,38-24,True,6.019868459135887,12.281128567421804,-7.980131540864113,-14,74.2811285674218,62,True,7
GB,ARI,30.1-27.7,27-23,True,1.488849469383934,7.791264480746797,-2.511150530616066,-4,57.7912644807468,50,True,7
ATL,SF,20.3-24.6,10-20,True,5.645938518798156,14.81848837737124,4.354061481201844,10,44.81848837737124,30,False,7
TB,DET,28.5-37.4,9-24,True,6.214219170622023,32.734444025607786,8.785780829377977,15,65.73444402560779,33,False,7
HOU,SEA,31.6-33.7,19-27,True,5.907727270155456,19.327108626409427,2.0922727298445443,8,65.32710862640943,46,True,7
