game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,away_score,home_score,margin,total,spread_close,spread_open,total_close,total_open
2024_10_SF_TB,2024,10,SF,TB,-5.551115123125783e-17,-1.3877787807814457e-17,0,4,-4.163336342344337e-17,1,0,5,1,0,0,0,0,-0.97755399457244,23,20,3,43,,,,
2024_10_PIT_WAS,2024,10,PIT,WAS,0.0,-2.775557561562892e-17,3,4,2.775557561562892e-17,0,0,2,1,0,0,0,0,0.6724154201238071,28,27,1,55,,,,
2024_10_TEN_LAC,2024,10,TEN,LAC,-5.551115123125783e-17,-2.775557561562892e-17,2,1,-2.775557561562892e-17,0,0,3,4,0,0,0,0,-0.6475601116331906,17,27,-10,44,,,,
2024_10_NYJ_ARI,2024,10,NYJ,ARI,0.0,0.0,2,3,0.0,0,0,2,1,0,0,0,0,0.0124276542453082,6,31,-25,37,,,,
2024_10_PHI_DAL,2024,10,PHI,DAL,-5.551115123125783e-17,-5.551115123125783e-17,3,2,0.0,0,0,3,3,1,0,0,0,0.0124276542453082,34,6,28,40,,,,
2024_10_DET_HOU,2024,10,DET,HOU,-2.775557561562892e-17,-5.551115123125783e-17,2,1,2.775557561562892e-17,0,0,3,4,0,0,0,0,0.6724154201238071,26,23,3,49,,,,
2024_11_WAS_PHI,2024,11,WAS,PHI,-5.551115123125783e-17,-2.775557561562892e-17,4,3,-2.775557561562892e-17,0,0,1,2,0,1,0,0,-0.6475601116331906,18,26,-8,44,,,,
2024_11_GB_CHI,2024,11,GB,CHI,-5.551115123125783e-17,-8.326672684688674e-17,3,1,2.775557561562892e-17,0,0,2,0,0,0,0,0,0.6724154201238071,20,19,1,39,,,,
2024_11_JAX_DET,2024,11,JAX,DET,0.0,-2.0816681711721685e-17,2,4,2.0816681711721685e-17,0,0,3,1,0,0,0,0,0.5074184786541824,6,52,-46,58,,,,
2024_11_LV_MIA,2024,11,LV,MIA,0.0,0.0,4,6,0.0,0,0,1,0,1,1,0,0,0.0124276542453082,19,34,-15,53,,,,
2024_11_CLE_NO,2024,11,CLE,NO,0.0,0.0,3,1,0.0,0,0,2,4,0,0,0,0,0.0124276542453082,14,35,-21,49,,,,
2024_11_IND_NYJ,2024,11,IND,NYJ,-2.775557561562892e-17,-2.775557561562892e-17,3,5,0.0,0,0,3,1,0,0,0,0,0.0124276542453082,28,27,1,55,,,,
2024_11_BAL_PIT,2024,11,BAL,PIT,-2.775557561562892e-17,0.0,3,3,-2.775557561562892e-17,0,0,3,3,0,0,0,0,-0.6475601116331906,16,18,-2,34,,,,
2024_11_MIN_TEN,2024,11,MIN,TEN,-2.775557561562892e-17,-5.551115123125783e-17,3,1,2.775557561562892e-17,0,0,2,4,0,0,0,0,0.6724154201238071,23,13,10,36,,,,
2024_11_ATL_DEN,2024,11,ATL,DEN,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.0124276542453082,6,38,-32,44,,,,
2024_11_SEA_SF,2024,11,SEA,SF,0.0,-5.551115123125783e-17,1,0,5.551115123125783e-17,0,1,3,5,0,0,0,0,1.332403186002306,20,17,3,37,,,,
2024_11_KC_BUF,2024,11,KC,BUF,-8.326672684688674e-17,0.0,1,2,-8.326672684688674e-17,0,0,4,3,0,0,0,0,-1.9675356433901885,21,30,-9,51,,,,
2024_11_CIN_LAC,2024,11,CIN,LAC,0.0,-5.551115123125783e-17,0,1,5.551115123125783e-17,1,0,5,4,0,0,0,0,1.332403186002306,27,34,-7,61,,,,
2024_11_HOU_DAL,2024,11,HOU,DAL,0.0,-5.551115123125783e-17,3,2,5.551115123125783e-17,0,0,2,3,0,0,0,0,1.332403186002306,34,10,24,44,,,,
2024_12_PIT_CLE,2024,12,PIT,CLE,0.0,-2.775557561562892e-17,0,0,2.775557561562892e-17,1,1,5,5,0,0,0,0,0.6724154201238071,19,24,-5,43,,,,
2024_12_KC_CAR,2024,12,KC,CAR,-8.326672684688674e-17,-8.326672684688674e-17,0,3,0.0,1,0,5,1,0,1,0,0,0.0124276542453082,30,27,3,57,,,,
2024_12_MIN_CHI,2024,12,MIN,CHI,-5.551115123125783e-17,0.0,1,1,-5.551115123125783e-17,0,0,4,0,0,0,0,0,-1.307547877511689,30,27,3,57,,,,
2024_12_TEN_HOU,2024,12,TEN,HOU,0.0,-8.326672684688674e-17,3,1,8.326672684688674e-17,0,0,3,4,0,0,0,0,1.9923909518808047,32,27,5,59,,,,
2024_12_DET_IND,2024,12,DET,IND,0.0,-2.775557561562892e-17,3,0,2.775557561562892e-17,0,1,3,5,0,0,0,0,0.6724154201238071,24,6,18,30,,,,
2024_12_NE_MIA,2024,12,NE,MIA,-2.775557561562892e-17,-8.326672684688674e-17,3,3,5.551115123125783e-17,0,0,3,3,1,1,0,0,1.332403186002306,15,34,-19,49,,,,
2024_12_TB_NYG,2024,12,TB,NYG,-4.163336342344337e-17,0.0,3,4,-4.163336342344337e-17,0,0,3,1,0,0,0,0,-0.97755399457244,30,7,23,37,,,,
2024_12_DAL_WAS,2024,12,DAL,WAS,-2.775557561562892e-17,0.0,1,0,-2.775557561562892e-17,0,1,3,5,0,0,0,0,-0.6475601116331906,34,26,8,60,,,,
2024_12_DEN_LV,2024,12,DEN,LV,-6.938893903907227e-17,-2.775557561562892e-17,5,3,-4.163336342344337e-17,0,0,1,3,0,1,0,0,-0.97755399457244,29,19,10,48,,,,
2024_12_SF_GB,2024,12,SF,GB,0.0,-8.326672684688674e-17,4,0,8.326672684688674e-17,0,1,1,5,0,0,0,0,1.9923909518808047,10,38,-28,48,,,,
2024_12_ARI_SEA,2024,12,ARI,SEA,0.0,-5.551115123125783e-17,3,4,5.551115123125783e-17,0,0,1,1,0,0,0,0,1.332403186002306,6,16,-10,22,,,,
2024_12_BAL_LAC,2024,12,BAL,LAC,-9.714451465470121e-17,-2.775557561562892e-17,3,0,-6.938893903907227e-17,0,1,3,5,0,0,0,0,-1.6375417604509388,30,23,7,53,,,,
2024_13_CHI_DET,2024,13,CHI,DET,0.0,0.0,1,1,0.0,0,0,0,4,0,0,0,0,0.0124276542453082,20,23,-3,43,,,,
2024_13_NYG_DAL,2024,13,NYG,DAL,0.0,-2.775557561562892e-17,5,2,2.775557561562892e-17,0,0,1,2,0,0,0,0,0.6724154201238071,20,27,-7,47,,,,
2024_13_MIA_GB,2024,13,MIA,GB,-2.775557561562892e-17,-6.938893903907227e-17,5,3,4.163336342344337e-17,0,0,1,3,1,0,0,0,1.0024093030630563,17,30,-13,47,,,,
2024_13_LV_KC,2024,13,LV,KC,-8.326672684688674e-17,0.0,4,0,-8.326672684688674e-17,0,1,2,5,1,0,0,0,-1.9675356433901885,17,19,-2,36,,,,
2024_13_LAC_ATL,2024,13,LAC,ATL,-5.551115123125783e-17,-5.551115123125783e-17,0,1,0.0,1,0,5,4,0,0,0,0,0.0124276542453082,17,13,4,30,,,,
2024_13_PIT_CIN,2024,13,PIT,CIN,0.0,-5.551115123125783e-17,0,3,5.551115123125783e-17,1,0,5,2,0,0,0,0,1.332403186002306,44,38,6,82,,,,
2024_13_HOU_JAX,2024,13,HOU,JAX,0.0,-4.163336342344337e-17,1,5,4.163336342344337e-17,0,0,4,1,0,0,0,0,1.0024093030630563,23,20,3,43,,,,
2024_13_ARI_MIN,2024,13,ARI,MIN,-6.938893903907227e-17,0.0,1,1,-6.938893903907227e-17,0,0,3,4,0,0,0,0,-1.6375417604509388,22,23,-1,45,,,,
2024_13_IND_NE,2024,13,IND,NE,-2.775557561562892e-17,-2.775557561562892e-17,2,5,0.0,0,0,1,0,0,1,0,0,0.0124276542453082,25,24,1,49,,,,
2024_13_SEA_NYJ,2024,13,SEA,NYJ,-8.326672684688674e-17,-8.326672684688674e-17,3,3,0.0,0,0,2,2,0,0,0,0,0.0124276542453082,26,21,5,47,,,,
2024_13_TEN_WAS,2024,13,TEN,WAS,-2.775557561562892e-17,-2.775557561562892e-17,0,2,0.0,1,0,5,3,0,0,0,0,0.0124276542453082,19,42,-23,61,,,,
2024_13_TB_CAR,2024,13,TB,CAR,-2.775557561562892e-17,-8.326672684688674e-17,3,5,5.551115123125783e-17,0,0,2,1,0,1,0,0,1.332403186002306,26,23,3,49,,,,
2024_13_PHI_BAL,2024,13,PHI,BAL,-5.551115123125783e-17,-8.326672684688674e-17,3,0,2.775557561562892e-17,0,1,3,5,1,0,0,0,0.6724154201238071,24,19,5,43,,,,
2024_13_SF_BUF,2024,13,SF,BUF,-5.551115123125783e-17,0.0,2,1,-5.551115123125783e-17,0,0,3,4,0,0,0,0,-1.307547877511689,10,35,-25,45,,,,
2024_13_CLE_DEN,2024,13,CLE,DEN,0.0,0.0,0,5,0.0,1,0,5,1,0,0,0,0,0.0124276542453082,32,41,-9,73,,,,
2024_14_GB_DET,2024,14,GB,DET,0.0,-9.714451465470121e-17,5,5,9.714451465470121e-17,0,0,1,1,0,0,0,0,2.322384834820054,31,34,-3,65,,,,
2024_14_NYJ_MIA,2024,14,NYJ,MIA,0.0,0.0,1,2,0.0,0,0,3,3,0,1,0,0,0.0124276542453082,26,32,-6,58,,,,
2024_14_ATL_MIN,2024,14,ATL,MIN,0.0,0.0,0,0,0.0,1,1,5,5,0,0,0,0,0.0124276542453082,21,42,-21,63,,,,
2024_14_NO_NYG,2024,14,NO,NYG,-5.551115123125783e-17,0.0,1,3,-5.551115123125783e-17,0,0,2,1,0,0,0,0,-1.307547877511689,14,11,3,25,,,,
2024_14_CAR_PHI,2024,14,CAR,PHI,-5.551115123125783e-17,-5.551115123125783e-17,5,3,0.0,0,0,1,3,1,1,0,0,0.0124276542453082,16,22,-6,38,,,,
2024_14_CLE_PIT,2024,14,CLE,PIT,-5.551115123125783e-17,-5.551115123125783e-17,3,0,0.0,0,1,3,5,0,0,0,0,0.0124276542453082,14,27,-13,41,,,,
2024_14_LV_TB,2024,14,LV,TB,-8.326672684688674e-17,0.0,3,0,-8.326672684688674e-17,0,1,3,5,1,0,0,0,-1.9675356433901885,13,28,-15,41,,,,
2024_14_JAX_TEN,2024,14,JAX,TEN,0.0,-5.551115123125783e-17,2,0,5.551115123125783e-17,0,1,3,5,0,0,0,0,1.332403186002306,10,6,4,16,,,,
