game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_home_first,spread_home_last,total_first,total_last,spread_movement,total_movement,days_tracked,away_score,home_score,actual_margin,actual_total,spread_direction,predicted_direction,predicted_spread_close,bet,bet_side,clv,result
2024_03_MIA_SEA,2024,3,MIA,SEA,-5.551115123125783e-17,0.0,4,3,-5.551115123125783e-17,0,0,1,3,1,0,0,0,-1.307547877511689,2.0,-4.5,49.0,41.5,-6.5,-7.5,21,3.0,24.0,-21.0,27.0,0,0,0.5,True,HOME,6.5,WIN
2024_03_DET_ARI,2024,3,DET,ARI,-5.551115123125783e-17,-4.163336342344337e-17,0,3,-1.3877787807814457e-17,1,0,5,2,0,0,0,0,-0.3175662286939411,4.0,2.5,50.0,52.5,-1.5,2.5,17,20.0,13.0,7.0,33.0,0,0,2.5,True,HOME,1.5,LOSS
2024_03_BAL_DAL,2024,3,BAL,DAL,-5.551115123125783e-17,0.0,0,5,-5.551115123125783e-17,1,0,5,1,0,0,0,0,-1.307547877511689,-1.0,1.0,48.0,47.5,2.0,-0.5,21,28.0,25.0,3.0,53.0,1,1,0.5,True,AWAY,2.0,WIN
2024_03_KC_ATL,2024,3,KC,ATL,-5.551115123125783e-17,0.0,2,1,-5.551115123125783e-17,0,0,3,3,0,0,0,0,-1.307547877511689,3.5,3.5,49.0,46.5,0.0,-2.5,17,22.0,17.0,5.0,39.0,0,0,2.0,True,HOME,0.0,LOSS
2024_03_JAX_BUF,2024,3,JAX,BUF,0.0,-4.163336342344337e-17,0,0,4.163336342344337e-17,1,1,5,5,0,0,0,0,1.0024093030630563,-5.0,-5.5,49.0,45.5,-0.5,-3.5,22,10.0,47.0,-37.0,57.0,0,0,-6.5,True,HOME,0.5,WIN
2024_03_WAS_CIN,2024,3,WAS,CIN,-5.551115123125783e-17,-2.775557561562892e-17,0,1,-2.775557561562892e-17,1,0,5,4,0,0,0,0,-0.6475601116331906,-7.0,-7.5,48.0,48.5,-0.5,0.5,17,38.0,33.0,5.0,71.0,0,1,-5.5,True,AWAY,-0.5,WIN
2024_04_DAL_NYG,2024,4,DAL,NYG,0.0,-1.3877787807814457e-17,0,0,1.3877787807814457e-17,1,1,5,5,0,0,0,0,0.3424215371845577,4.0,7.0,44.5,43.5,3.0,-1.0,17,20.0,15.0,5.0,35.0,1,0,2.5,True,HOME,-3.0,LOSS
2024_04_NO_ATL,2024,4,NO,ATL,0.0,0.0,2,0,0.0,0,1,2,5,1,0,0,0,0.0124276542453082,-3.5,-1.0,44.5,46.0,2.5,1.5,17,24.0,26.0,-2.0,50.0,1,0,-5.0,True,HOME,-2.5,LOSS
2024_04_CIN_CAR,2024,4,CIN,CAR,-5.551115123125783e-17,-5.551115123125783e-17,0,4,0.0,1,0,5,1,0,0,0,0,0.0124276542453082,6.5,7.0,46.0,43.0,0.5,-3.0,17,34.0,24.0,10.0,58.0,1,0,5.0,True,HOME,-0.5,LOSS
2024_04_MIN_GB,2024,4,MIN,GB,0.0,0.0,0,3,0.0,1,0,5,3,0,0,0,0,0.0124276542453082,-5.0,1.5,45.0,40.0,6.5,-5.0,17,31.0,29.0,2.0,60.0,1,0,-6.5,True,HOME,-6.5,LOSS
