week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
4,BAL@KC,spread,home,2.590909090909091,4.974607819164327,65.0,WIN,59.085,17,57,7.565516910073418,51.71264758059718,0.65
4,BAL@KC,total,over,48.40909090909091,3.3035566715062714,65.0,WIN,59.085,17,57,7.565516910073418,51.71264758059718,0.65
4,CHI@LV,spread,away,-0.6818181818181818,1.484772865497276,56.66666666666668,WIN,51.51000000000001,-1,49,-2.1665910473154577,45.87006147464476,0.5666666666666668
4,CHI@LV,total,under,47.63636363636363,1.766302161718876,56.66666666666668,LOSS,-56.66666666666668,-1,49,-2.1665910473154577,45.87006147464476,0.5666666666666668
4,GB@DAL,spread,home,6.681818181818182,1.25193284850958,65.0,LOSS,-65.0,0,80,7.933751030327762,54.24541332491024,0.65
4,GB@DAL,total,over,47.22727272727273,7.018140597637512,65.0,WIN,59.085,0,80,7.933751030327762,54.24541332491024,0.65
4,NYJ@MIA,spread,home,-2.727272727272727,2.898844656458055,65.0,WIN,59.085,6,48,0.17157192918532793,47.57373057487089,0.65
4,NYJ@MIA,total,over,44.95454545454545,2.61918512032544,65.0,WIN,59.085,6,48,0.17157192918532793,47.57373057487089,0.65
4,CIN@DEN,spread,home,-7.454545454545454,2.563662397209975,58.333333333333336,WIN,53.025000000000006,25,31,-4.890883057335479,51.63158253335229,0.5833333333333334
4,CIN@DEN,total,over,44.04545454545455,7.58612798789774,58.333333333333336,LOSS,-58.333333333333336,25,31,-4.890883057335479,51.63158253335229,0.5833333333333334
5,LV@IND,spread,home,-6.863636363636363,9.520506304798365,65.0,WIN,59.085,34,46,2.656869941162002,50.62690709062946,0.65
5,LV@IND,total,over,47.81818181818182,2.8087252724476386,65.0,LOSS,-65.0,34,46,2.656869941162002,50.62690709062946,0.65
5,NYG@NO,spread,away,-1.6363636363636365,2.706434117077995,65.0,LOSS,-65.0,12,40,-4.342797753441632,43.251919818866284,0.65
5,DAL@NYJ,spread,away,2.3181818181818183,4.649769988432323,65.0,WIN,59.085,-15,59,-2.3315881702505044,49.844005089367876,0.65
5,DAL@NYJ,total,over,47.5,2.344005089367876,65.0,WIN,59.085,-15,59,-2.3315881702505044,49.844005089367876,0.65
5,DEN@PHI,spread,home,-3.727272727272727,1.3006463696891521,58.333333333333336,LOSS,-58.333333333333336,-4,38,-2.426626357583575,47.98589178546941,0.5833333333333334
5,DEN@PHI,total,over,43.5,4.485891785469413,58.333333333333336,LOSS,-58.333333333333336,-4,38,-2.426626357583575,47.98589178546941,0.5833333333333334
