week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
6,CIN@GB,total,under,44.5,5.5,LOSS,-110.0,,,44.5,44.5,0.0,45.0,39.0
6,SF@TB,spread,home,-3.5,7.37131404876709,WIN,90.9,11.0,10.87131404876709,-3.0,-3.5,-0.5,,
6,SF@TB,total,under,46.5,2.8333332538604736,LOSS,-110.0,,,47.5,46.5,1.0,49.0,43.666666746139526
6,DET@KC,spread,home,-2.5,14.25,WIN,90.9,13.0,16.75,-2.5,-2.5,0.0,,
6,DET@KC,total,under,51.5,5.5,WIN,90.9,,,52.5,51.5,1.0,47.0,46.0
6,BUF@ATL,spread,home,4.5,8.75,WIN,90.9,10.0,4.25,4.5,4.5,0.0,,
6,BUF@ATL,total,under,49.5,8.386276245117188,WIN,90.9,,,49.5,49.5,0.0,38.0,41.11372375488281
6,CHI@WAS,spread,away,5.5,1.8333333730697632,LOSS,-110.0,-1.0,3.666666626930237,4.5,5.5,1.0,,
6,CHI@WAS,total,over,49.5,6.712113857269287,LOSS,-110.0,,,49.5,49.5,0.0,49.0,56.21211385726929
7,PIT@CIN,total,over,45.5,26.23703956604004,WIN,90.9,,,44.5,45.5,1.0,64.0,71.73703956604004
7,LAR@JAX,spread,away,-3.0,2.3605053424835205,WIN,90.9,-28.0,-5.3605053424835205,-3.0,-3.0,0.0,,
7,NO@CHI,spread,home,-4.5,11.5,WIN,90.9,12.0,16.0,-4.5,-4.5,0.0,,
7,NO@CHI,total,under,44.5,7.8353190422058105,WIN,90.9,,,46.5,44.5,2.0,40.0,36.66468095779419
7,MIA@CLE,spread,home,-2.5,25.649160385131836,WIN,90.9,25.0,28.149160385131836,-2.5,-2.5,0.0,,
7,MIA@CLE,total,under,34.5,9.5,LOSS,-110.0,,,37.5,34.5,3.0,37.0,25.0
7,NE@TEN,spread,away,-6.5,17.5,WIN,90.9,-18.0,-24.0,-7.0,-6.5,0.5,,
7,NE@TEN,total,over,41.5,5.305456161499023,WIN,90.9,,,41.5,41.5,0.0,44.0,46.80545616149902
7,LV@KC,spread,home,-13.5,23.875,WIN,90.9,31.0,37.375,-11.5,-13.5,-2.0,,
7,LV@KC,total,under,44.5,9.5,WIN,90.9,,,45.5,44.5,1.0,31.0,35.0
7,PHI@MIN,spread,away,-2.5,5.0,WIN,90.9,-6.0,-7.5,-1.5,-2.5,-1.0,,
7,PHI@MIN,total,over,43.5,6.578322410583496,WIN,90.9,,,43.5,43.5,0.0,50.0,50.078322410583496
7,CAR@NYJ,spread,home,1.5,6.875,LOSS,-110.0,-7.0,5.375,1.5,1.5,0.0,,
7,CAR@NYJ,total,under,40.5,11.5,WIN,90.9,,,42.5,40.5,2.0,19.0,29.0
7,NYG@DEN,spread,home,-7.5,4.833333492279053,WIN,90.9,1.0,12.333333492279053,-7.0,-7.5,-0.5,,
7,NYG@DEN,total,over,39.5,23.33685874938965,WIN,90.9,,,39.5,39.5,0.0,65.0,62.83685874938965
7,IND@LAC,spread,away,2.5,1.8333333730697632,WIN,90.9,-14.0,0.6666666269302368,1.5,2.5,1.0,,
7,IND@LAC,total,over,48.5,9.02928638458252,WIN,90.9,,,48.5,48.5,0.0,62.0,57.52928638458252
7,WAS@DAL,spread,home,-1.5,8.75,WIN,90.9,22.0,10.25,2.5,-1.5,-4.0,,
7,WAS@DAL,total,over,54.5,24.0,WIN,90.9,,,54.5,54.5,0.0,66.0,78.5
7,GB@ARI,total,over,44.5,3.0765585899353027,WIN,90.9,,,45.5,44.5,-1.0,50.0,47.5765585899353
7,ATL@SF,spread,home,-1.5,9.567361831665039,WIN,90.9,10.0,11.067361831665039,-2.5,-1.5,1.0,,
7,ATL@SF,total,under,46.5,14.699999809265137,WIN,90.9,,,47.5,46.5,1.0,30.0,31.800000190734863
7,TB@DET,spread,home,-6.0,8.75,WIN,90.9,15.0,14.75,-5.5,-6.0,-0.5,,
7,TB@DET,total,under,54.5,6.374585151672363,WIN,90.9,,,52.5,54.5,-2.0,33.0,48.12541484832764
7,HOU@SEA,spread,home,-3.0,8.75,WIN,90.9,8.0,11.75,-3.0,-3.0,0.0,,
7,HOU@SEA,total,under,41.5,2.789835214614868,LOSS,-110.0,,,41.5,41.5,0.0,46.0,38.71016478538513
