week,away,home,closing_spread,closing_total,spread_price_home,spread_price_away,total_price_over,total_price_under,book_id,closing_time
4,NYJ,MIA,-2.5,44.5,-115,-105,100,-120,draftkings,2025-09-29T22:15:00Z
4,CIN,DEN,-7.5,44.5,-105,-115,-105,-115,draftkings,2025-09-29T23:15:00Z
5,SF,LAR,-8.5,43.5,-110,-110,-112,-108,draftkings,2025-10-02T23:15:00Z
5,MIN,CLE,3.5,35.5,-110,-110,-108,-112,draftkings,2025-10-05T12:30:00Z
5,LV,IND,-7.0,47.5,-115,-105,-108,-112,draftkings,2025-10-05T16:00:00Z
5,NYG,NO,-1.5,41.5,-105,-115,-115,-105,draftkings,2025-10-05T16:00:00Z
5,DAL,NYJ,1.5,48.5,-115,-105,-110,-110,draftkings,2025-10-05T16:00:00Z
5,DEN,PHI,-4.5,44.5,-102,-118,-105,-115,draftkings,2025-10-05T16:00:00Z
5,MIA,CAR,1.5,44.5,-115,-105,-115,-105,draftkings,2025-10-05T16:00:00Z
5,HOU,BAL,2.5,40.5,-102,-118,-110,-110,draftkings,2025-10-05T16:00:00Z
5,TEN,ARI,-7.5,41.5,-112,-108,-110,-110,draftkings,2025-10-05T19:05:00Z
5,TB,SEA,-3.5,44.5,-105,-115,-115,-105,draftkings,2025-10-05T19:05:00Z
5,DET,CIN,10.5,49.5,-118,-102,-108,-112,draftkings,2025-10-05T19:25:00Z
5,WAS,LAC,-2.5,47.5,-120,100,-105,-115,draftkings,2025-10-05T19:25:00Z
5,NE,BUF,-7.5,49.5,-115,-105,-112,-108,draftkings,2025-10-05T23:20:00Z
5,KC,JAX,3.5,45.5,-110,-110,-112,-108,draftkings,2025-10-06T23:15:00Z
6,PHI,NYG,7.0,40.5,100,-120,-115,-105,draftkings,2025-10-09T23:15:00Z
6,DEN,NYJ,7.5,43.5,-118,-102,-108,-112,draftkings,2025-10-12T12:30:00Z
6,ARI,IND,-8.5,46.5,-110,-110,102,-122,draftkings,2025-10-12T16:00:00Z
6,LAC,MIA,3.5,45.5,-105,-115,-105,-115,draftkings,2025-10-12T16:00:00Z
6,NE,NO,3.5,46.5,-115,-105,-105,-115,draftkings,2025-10-12T16:00:00Z
6,CLE,PIT,-6.0,37.5,-110,-110,-120,100,draftkings,2025-10-12T16:00:00Z
6,DAL,CAR,3.0,47.5,-102,-118,-115,-105,draftkings,2025-10-12T16:00:00Z
6,SEA,JAX,1.5,47.5,-120,100,-105,-115,draftkings,2025-10-12T16:00:00Z
6,LAR,BAL,7.0,43.5,-115,-105,-112,-108,draftkings,2025-10-12T16:00:00Z
6,TEN,LV,-3.5,41.5,-110,-110,-115,-105,draftkings,2025-10-12T19:05:00Z
6,CIN,GB,-14.0,44.5,-110,-110,-110,-110,draftkings,2025-10-12T19:25:00Z
6,SF,TB,-3.5,46.5,-108,-112,-115,-105,draftkings,2025-10-12T19:25:00Z
6,DET,KC,-2.5,51.5,-115,-105,-115,-105,draftkings,2025-10-12T23:20:00Z
6,BUF,ATL,4.5,49.5,-120,100,-118,-102,draftkings,2025-10-13T22:15:00Z
6,CHI,WAS,-5.5,49.5,-112,-108,-115,-105,draftkings,2025-10-13T23:15:00Z
7,PIT,CIN,5.5,45.5,-110,-110,-105,-115,draftkings,2025-10-16T23:15:00Z
7,LAR,JAX,3.0,44.5,-105,-115,-115,-105,draftkings,2025-10-19T12:30:00Z
7,NO,CHI,-4.5,44.5,-108,-112,-108,-112,draftkings,2025-10-19T16:00:00Z
7,MIA,CLE,-2.5,34.5,-118,-102,-108,-112,draftkings,2025-10-19T16:00:00Z
7,NE,TEN,6.5,41.5,-105,-115,-108,-112,draftkings,2025-10-19T16:00:00Z
7,LV,KC,-13.5,44.5,-105,-115,-112,-108,draftkings,2025-10-19T16:00:00Z
7,PHI,MIN,2.5,43.5,-118,-102,-115,-105,draftkings,2025-10-19T16:00:00Z
7,CAR,NYJ,1.5,40.5,-125,105,-115,-105,draftkings,2025-10-19T16:00:00Z
7,NYG,DEN,-7.5,39.5,-118,-102,-115,-105,draftkings,2025-10-19T19:05:00Z
7,IND,LAC,-2.5,48.5,-112,-108,-110,-110,draftkings,2025-10-19T19:05:00Z
7,WAS,DAL,-1.5,54.5,-112,-108,-115,-105,draftkings,2025-10-19T19:25:00Z
7,GB,ARI,7.0,44.5,-105,-115,-110,-110,draftkings,2025-10-19T19:25:00Z
7,ATL,SF,-1.5,46.5,100,-120,-108,-112,draftkings,2025-10-19T23:20:00Z
7,TB,DET,-6.0,54.5,-108,-112,-105,-115,draftkings,2025-10-20T22:00:00Z
7,HOU,SEA,-3.0,41.5,-110,-110,-110,-110,draftkings,2025-10-21T01:00:00Z
