week,away,home,spread,total,commence_time
3,NYJ,MIA,-2.5,44.285714285714285,2025-09-29T23:16:00Z
3,CIN,DEN,-6.5,44.5,2025-09-30T00:16:00Z
4,SEA,ARI,1.4090909090909092,43.40909090909091,2025-09-26T00:16:00Z
4,MIN,PIT,2.4545454545454546,40.63636363636363,2025-09-28T13:31:00Z
4,CLE,DET,-9.863636363636363,44.31818181818182,2025-09-28T17:00:00Z
4,LAC,NYG,6.454545454545454,43.63636363636363,2025-09-28T17:00:00Z
4,WAS,ATL,1.0454545454545454,45.22727272727273,2025-09-28T17:01:00Z
4,NO,BUF,-15.590909090909092,47.90909090909091,2025-09-28T17:01:00Z
4,CAR,NE,-5.318181818181818,42.81818181818182,2025-09-28T17:01:00Z
4,TEN,HOU,-7.045454545454546,38.5,2025-09-28T17:01:00Z
4,PHI,TB,3.5,43.81818181818182,2025-09-28T17:01:00Z
4,IND,LA,-3.4545454545454546,49.5,2025-09-28T20:06:00Z
4,JAX,SF,-3.227272727272727,47.0,2025-09-28T20:06:00Z
4,BAL,KC,2.590909090909091,48.40909090909091,2025-09-28T20:25:00Z
4,CHI,LV,-0.6818181818181818,47.63636363636363,2025-09-28T20:26:00Z
4,GB,DAL,6.681818181818182,47.22727272727273,2025-09-29T00:21:00Z
4,NYJ,MIA,-2.727272727272727,44.95454545454545,2025-09-29T23:15:00Z
4,CIN,DEN,-7.454545454545454,44.04545454545455,2025-09-30T00:15:00Z
4,SF,LA,-3.0,47.0,2025-10-03T00:16:00Z
4,MIN,CLE,4.928571428571429,38.285714285714285,2025-10-05T13:31:00Z
4,HOU,BAL,-9.5,45.875,2025-10-05T17:01:00Z
4,MIA,CAR,-0.25,45.1875,2025-10-05T17:01:00Z
4,DAL,NYJ,1.6875,46.375,2025-10-05T17:01:00Z
4,DEN,PHI,-5.25,43.4375,2025-10-05T17:01:00Z
4,LV,IND,-6.25,48.5625,2025-10-05T17:01:00Z
4,NYG,NO,1.875,43.125,2025-10-05T17:01:00Z
4,TEN,ARI,-7.9375,42.0625,2025-10-05T20:06:00Z
4,TB,SEA,-1.7142857142857142,44.5,2025-10-05T20:06:00Z
4,DET,CIN,7.4375,49.3125,2025-10-05T20:26:00Z
4,WAS,LAC,-2.9166666666666665,48.583333333333336,2025-10-05T20:26:00Z
4,NE,BUF,-10.0625,48.9375,2025-10-06T00:21:00Z
4,KC,JAX,3.125,44.375,2025-10-07T00:16:00Z
5,SF,LA,-8.636363636363637,43.77272727272727,2025-10-03T00:16:00Z
5,MIN,CLE,3.590909090909091,36.04545454545455,2025-10-05T13:31:00Z
5,HOU,BAL,1.7727272727272727,40.59090909090909,2025-10-05T17:01:00Z
5,MIA,CAR,1.1818181818181819,44.45454545454545,2025-10-05T17:01:00Z
5,DAL,NYJ,2.3181818181818183,47.5,2025-10-05T17:01:00Z
5,DEN,PHI,-3.727272727272727,43.5,2025-10-05T17:01:00Z
5,LV,IND,-6.863636363636363,47.81818181818182,2025-10-05T17:01:00Z
5,NYG,NO,-1.6363636363636365,41.90909090909091,2025-10-05T17:01:00Z
5,TEN,ARI,-7.7272727272727275,42.04545454545455,2025-10-05T20:06:00Z
5,TB,SEA,-3.5,44.59090909090909,2025-10-05T20:06:00Z
5,DET,CIN,10.363636363636363,49.40909090909091,2025-10-05T20:26:00Z
5,WAS,LAC,-2.727272727272727,47.95454545454545,2025-10-05T20:26:00Z
5,NE,BUF,-8.181818181818182,48.86363636363637,2025-10-06T00:21:00Z
5,KC,JAX,3.409090909090909,46.36363636363637,2025-10-07T00:16:00Z
5,PHI,NYG,7.4375,42.4375,2025-10-10T00:16:00Z
5,DEN,NYJ,6.3125,42.9375,2025-10-12T12:31:00Z
5,ARI,IND,-3.8125,47.1875,2025-10-12T17:01:00Z
5,LA,BAL,5.25,44.5,2025-10-12T17:01:00Z
5,DAL,CAR,3.5,47.375,2025-10-12T17:01:00Z
5,CLE,PIT,-5.75,38.0,2025-10-12T17:01:00Z
5,SEA,JAX,-0.9375,44.75,2025-10-12T17:01:00Z
5,LAC,MIA,5.5,45.25,2025-10-12T17:01:00Z
5,NE,NO,3.5,44.785714285714285,2025-10-12T17:01:00Z
5,TEN,LV,-6.375,41.5,2025-10-12T20:06:00Z
5,CIN,GB,-13.5,44.0625,2025-10-12T20:26:00Z
5,SF,TB,-2.0,46.92857142857143,2025-10-12T20:26:00Z
5,DET,KC,-1.1875,48.75,2025-10-13T00:21:00Z
5,BUF,ATL,5.1875,50.25,2025-10-13T23:16:00Z
5,CHI,WAS,-4.9375,50.375,2025-10-14T00:16:00Z
