season,week,away,home,away_score,home_score,game_date,game_id
2021,1,MIN,CIN,24,27,2021-09-12T17:00Z,401326316
2021,1,SF,DET,41,33,2021-09-12T17:00Z,401326317
2021,1,ARI,TEN,38,13,2021-09-12T17:00Z,401326311
2021,1,SEA,IND,28,16,2021-09-12T17:00Z,401326318
2021,1,LAC,WAS,20,16,2021-09-12T17:00Z,401326312
2021,1,NYJ,CAR,14,19,2021-09-12T17:00Z,401326309
2021,1,JAX,HOU,21,37,2021-09-12T17:00Z,401326310
2021,1,CLE,KC,29,33,2021-09-12T20:25Z,401326314
2021,1,MIA,NE,17,16,2021-09-12T20:25Z,401326313
2021,1,GB,NO,3,38,2021-09-12T20:25Z,401326319
2021,1,DEN,NYG,27,13,2021-09-12T20:25Z,401326320
2021,1,CHI,LAR,14,34,2021-09-13T00:20Z,401326323
2021,1,BAL,LV,27,33,2021-09-14T00:15Z,401326321
2021,2,NYG,WAS,29,30,2021-09-17T00:20Z,401326127
2021,2,CIN,CHI,17,20,2021-09-19T17:00Z,401326129
2021,2,HOU,CLE,21,31,2021-09-19T17:00Z,401326130
2021,2,LAR,IND,27,24,2021-09-19T17:00Z,401326131
2021,2,BUF,MIA,35,0,2021-09-19T17:00Z,401326353
2021,2,NE,NYJ,25,6,2021-09-19T17:00Z,401326354
2021,2,SF,PHI,17,11,2021-09-19T17:00Z,401326355
2021,2,LV,PIT,26,17,2021-09-19T17:00Z,401326356
2021,2,NO,CAR,7,26,2021-09-19T17:00Z,401326128
2021,2,DEN,JAX,23,13,2021-09-19T17:00Z,401326132
2021,2,MIN,ARI,33,34,2021-09-19T20:05Z,401326357
2021,2,ATL,TB,25,48,2021-09-19T20:05Z,401326358
2021,2,DAL,LAC,20,17,2021-09-19T20:25Z,401326359
2021,2,TEN,SEA,33,30,2021-09-19T20:25Z,401326360
2021,2,KC,BAL,35,36,2021-09-20T00:20Z,401326361
2021,2,DET,GB,17,35,2021-09-21T00:15Z,401326362
2021,3,CAR,HOU,24,9,2021-09-24T00:20Z,401326363
2021,3,WAS,BUF,21,43,2021-09-26T17:00Z,401326364
2021,3,CHI,CLE,6,26,2021-09-26T17:00Z,401326365
2021,3,BAL,DET,19,17,2021-09-26T17:00Z,401326366
2021,3,IND,TEN,16,25,2021-09-26T17:00Z,401326372
2021,3,LAC,KC,30,24,2021-09-26T17:00Z,401326368
2021,3,NO,NE,28,13,2021-09-26T17:00Z,401326369
2021,3,ATL,NYG,17,14,2021-09-26T17:00Z,401326370
2021,3,CIN,PIT,24,10,2021-09-26T17:00Z,401326371
2021,3,ARI,JAX,31,19,2021-09-26T17:00Z,401326367
2021,3,NYJ,DEN,0,26,2021-09-26T20:05Z,401326373
2021,3,MIA,LV,28,31,2021-09-26T20:05Z,401326374
2021,3,TB,LAR,24,34,2021-09-26T20:25Z,401326375
2021,3,SEA,MIN,17,30,2021-09-26T20:25Z,401326376
2021,3,GB,SF,30,28,2021-09-27T00:20Z,401326377
2021,3,PHI,DAL,21,41,2021-09-28T00:15Z,401326378
2021,4,JAX,CIN,21,24,2021-10-01T00:20Z,401326379
2021,4,WAS,ATL,34,30,2021-10-03T17:00Z,401326380
2021,4,HOU,BUF,0,40,2021-10-03T17:00Z,401326381
2021,4,DET,CHI,14,24,2021-10-03T17:00Z,401326382
2021,4,CAR,DAL,28,36,2021-10-03T17:00Z,401326383
2021,4,IND,MIA,27,17,2021-10-03T17:00Z,401326384
2021,4,CLE,MIN,14,7,2021-10-03T17:00Z,401326385
2021,4,NYG,NO,27,21,2021-10-03T17:00Z,401326386
2021,4,TEN,NYJ,24,27,2021-10-03T17:00Z,401326387
2021,4,KC,PHI,42,30,2021-10-03T17:00Z,401326388
2021,4,ARI,LAR,37,20,2021-10-03T20:05Z,401326389
2021,4,SEA,SF,28,21,2021-10-03T20:05Z,401326390
2021,4,BAL,DEN,23,7,2021-10-03T20:25Z,401326391
2021,4,PIT,GB,17,27,2021-10-03T20:25Z,401326392
2021,4,TB,NE,19,17,2021-10-04T00:20Z,401326393
2021,4,LV,LAC,14,28,2021-10-05T00:50Z,401326394
2021,5,LAR,SEA,26,17,2021-10-08T00:20Z,401326395
2021,5,NYJ,ATL,20,27,2021-10-10T13:30Z,401326324
2021,5,GB,CIN,25,22,2021-10-10T17:00Z,401326397
2021,5,DET,MIN,17,19,2021-10-10T17:00Z,401326400
2021,5,DEN,PIT,19,27,2021-10-10T17:00Z,401326401
2021,5,MIA,TB,17,45,2021-10-10T17:00Z,401326402
2021,5,NO,WAS,33,22,2021-10-10T17:00Z,401326403
2021,5,PHI,CAR,21,18,2021-10-10T17:00Z,401326396
2021,5,TEN,JAX,37,19,2021-10-10T17:00Z,401326399
2021,5,NE,HOU,25,22,2021-10-10T17:00Z,401326398
2021,5,CHI,LV,20,9,2021-10-10T20:05Z,401326405
2021,5,CLE,LAC,42,47,2021-10-10T20:05Z,401326404
2021,5,NYG,DAL,20,44,2021-10-10T20:25Z,401326407
2021,5,SF,ARI,10,17,2021-10-10T20:25Z,401326406
2021,5,BUF,KC,38,20,2021-10-11T00:20Z,401326408
2021,5,IND,BAL,25,31,2021-10-12T00:15Z,401326409
2021,6,TB,PHI,28,22,2021-10-15T00:20Z,401326410
2021,6,MIA,JAX,20,23,2021-10-17T13:30Z,401326325
2021,6,GB,CHI,24,14,2021-10-17T17:00Z,401326413
2021,6,CIN,DET,34,11,2021-10-17T17:00Z,401326414
2021,6,HOU,IND,3,31,2021-10-17T17:00Z,401326415
2021,6,LAR,NYG,38,11,2021-10-17T17:00Z,401326416
2021,6,KC,WAS,31,13,2021-10-17T17:00Z,401326417
2021,6,MIN,CAR,34,28,2021-10-17T17:00Z,401326412
2021,6,LAC,BAL,6,34,2021-10-17T17:00Z,401326411
2021,6,ARI,CLE,37,14,2021-10-17T20:05Z,401326418
2021,6,LV,DEN,34,24,2021-10-17T20:25Z,401326419
2021,6,DAL,NE,35,29,2021-10-17T20:25Z,401326420
2021,6,SEA,PIT,20,23,2021-10-18T00:20Z,401326421
2021,6,BUF,TEN,31,34,2021-10-19T00:15Z,401326422
2021,7,DEN,CLE,14,17,2021-10-22T00:20Z,401326423
2021,7,WAS,GB,10,24,2021-10-24T17:00Z,401326425
2021,7,KC,TEN,3,27,2021-10-24T17:00Z,401326429
2021,7,ATL,MIA,30,28,2021-10-24T17:00Z,401326426
2021,7,NYJ,NE,13,54,2021-10-24T17:00Z,401326427
2021,7,CAR,NYG,3,25,2021-10-24T17:00Z,401326428
2021,7,CIN,BAL,41,17,2021-10-24T17:00Z,401326424
2021,7,PHI,LV,22,33,2021-10-24T20:05Z,401326431
2021,7,DET,LAR,19,28,2021-10-24T20:05Z,401326430
2021,7,HOU,ARI,5,31,2021-10-24T20:25Z,401326432
2021,7,CHI,TB,3,38,2021-10-24T20:25Z,401326433
2021,7,IND,SF,30,18,2021-10-25T00:20Z,401326434
2021,7,NO,SEA,13,10,2021-10-26T00:15Z,401326435
2021,8,GB,ARI,24,21,2021-10-29T00:20Z,401326436
2021,8,CAR,ATL,19,13,2021-10-31T17:00Z,401326437
2021,8,MIA,BUF,11,26,2021-10-31T17:00Z,401326438
2021,8,SF,CHI,33,22,2021-10-31T17:00Z,401326439
2021,8,PIT,CLE,15,10,2021-10-31T17:00Z,401326440
2021,8,PHI,DET,44,6,2021-10-31T17:00Z,401326441
2021,8,TEN,IND,34,31,2021-10-31T17:00Z,401326443
2021,8,CIN,NYJ,31,34,2021-10-31T17:00Z,401326444
2021,8,LAR,HOU,38,22,2021-10-31T17:00Z,401326442
2021,8,NE,LAC,27,24,2021-10-31T20:05Z,401326445
2021,8,JAX,SEA,7,31,2021-10-31T20:05Z,401326446
2021,8,WAS,DEN,10,17,2021-10-31T20:25Z,401326447
2021,8,TB,NO,27,36,2021-10-31T20:25Z,401326448
2021,8,DAL,MIN,20,16,2021-11-01T00:20Z,401326449
2021,8,NYG,KC,17,20,2021-11-02T00:15Z,401326450
2021,9,NYJ,IND,30,45,2021-11-05T00:20Z,401326451
2021,9,CLE,CIN,41,16,2021-11-07T18:00Z,401326454
2021,9,DEN,DAL,30,16,2021-11-07T18:00Z,401326455
2021,9,HOU,MIA,9,17,2021-11-07T18:00Z,401326457
2021,9,ATL,NO,27,25,2021-11-07T18:00Z,401326458
2021,9,LV,NYG,16,23,2021-11-07T18:00Z,401326459
2021,9,NE,CAR,24,6,2021-11-07T18:00Z,401326453
2021,9,BUF,JAX,6,9,2021-11-07T18:00Z,401326456
2021,9,MIN,BAL,31,34,2021-11-07T18:00Z,401326452
2021,9,LAC,PHI,27,24,2021-11-07T21:05Z,401326460
2021,9,GB,KC,7,13,2021-11-07T21:25Z,401326461
2021,9,ARI,SF,31,17,2021-11-07T21:25Z,401326462
2021,9,TEN,LAR,28,16,2021-11-08T01:20Z,401326463
2021,9,CHI,PIT,27,29,2021-11-09T01:15Z,401326464
2021,10,BAL,MIA,10,22,2021-11-12T01:20Z,401326465
2021,10,ATL,DAL,3,43,2021-11-14T18:00Z,401326466
2021,10,NO,TEN,21,23,2021-11-14T18:00Z,401326471
2021,10,JAX,IND,17,23,2021-11-14T18:00Z,401326467
2021,10,CLE,NE,7,45,2021-11-14T18:00Z,401326468
2021,10,BUF,NYJ,45,17,2021-11-14T18:00Z,401326469
2021,10,DET,PIT,16,16,2021-11-14T18:00Z,401326470
2021,10,TB,WAS,19,29,2021-11-14T18:00Z,401326472
2021,10,CAR,ARI,34,10,2021-11-14T21:05Z,401326473
2021,10,MIN,LAC,27,20,2021-11-14T21:05Z,401326474
2021,10,PHI,DEN,30,13,2021-11-14T21:25Z,401326475
2021,10,SEA,GB,0,17,2021-11-14T21:25Z,401326476
2021,10,KC,LV,41,14,2021-11-15T01:20Z,401326477
2021,10,LAR,SF,10,31,2021-11-16T01:15Z,401326478
2021,11,NE,ATL,25,0,2021-11-19T01:20Z,401326479
2021,11,IND,BUF,41,15,2021-11-21T18:00Z,401326480
2021,11,BAL,CHI,16,13,2021-11-21T18:00Z,401326482
2021,11,DET,CLE,10,13,2021-11-21T18:00Z,401326483
2021,11,HOU,TEN,22,13,2021-11-21T18:00Z,401326488
2021,11,GB,MIN,31,34,2021-11-21T18:00Z,401326485
2021,11,MIA,NYJ,24,17,2021-11-21T18:00Z,401326486
2021,11,NO,PHI,29,40,2021-11-21T18:00Z,401326487
2021,11,WAS,CAR,27,21,2021-11-21T18:00Z,401326481
