week,away,home,spread,total,line_type,timestamp
1,DEN,PHI,-4.5,45.5,opening,2025-10-05T17:00:00Z
1,LV,IND,-1.5,44.5,opening,2025-10-05T17:00:00Z
1,NYG,NO,1.5,42.5,opening,2025-10-05T17:00:00Z
1,TEN,ARI,-5.5,46.5,opening,2025-10-05T20:05:00Z
1,TB,SEA,1.5,47.5,opening,2025-10-05T20:05:00Z
1,DET,CIN,1.5,50.5,opening,2025-10-05T20:25:00Z
1,WAS,LAC,-1.5,47.5,opening,2025-10-05T20:25:00Z
1,NE,BUF,-8.5,46.5,opening,2025-10-06T00:20:00Z
1,KC,JAX,4.5,47.5,opening,2025-10-07T00:15:00Z
1,PHI,NYG,7.0,43.5,opening,2025-10-10T00:15:00Z
1,DEN,NYJ,6.5,42.5,opening,2025-10-12T13:30:00Z
1,ARI,IND,1.5,47.5,opening,2025-10-12T17:00:00Z
1,LA,BAL,-5.5,48.5,opening,2025-10-12T17:00:00Z
1,DAL,CAR,1.5,46.5,opening,2025-10-12T17:00:00Z
1,CLE,PIT,-6.5,42.5,opening,2025-10-12T17:00:00Z
1,SEA,JAX,-1.5,46.5,opening,2025-10-12T17:00:00Z
1,LAC,MIA,2.5,45.5,opening,2025-10-12T17:00:00Z
1,SF,TB,-1.5,48.5,opening,2025-10-12T17:00:00Z
1,TEN,LV,-3.0,44.5,opening,2025-10-12T20:05:00Z
1,CIN,GB,-3.0,48.5,opening,2025-10-12T20:25:00Z
1,NE,NO,3.0,43.5,opening,2025-10-12T20:25:00Z
1,DET,KC,-3.0,48.5,opening,2025-10-13T00:20:00Z
1,BUF,ATL,5.5,48.5,opening,2025-10-13T23:15:00Z
1,CHI,WAS,-4.5,48.5,opening,2025-10-14T00:15:00Z
1,PIT,CIN,-4.5,46.5,opening,2025-10-17T00:15:00Z
1,LA,JAX,3.5,47.5,opening,2025-10-19T13:30:00Z
1,CAR,NYJ,-1.5,43.5,opening,2025-10-19T17:00:00Z
1,NO,CHI,-7.5,44.5,opening,2025-10-19T17:00:00Z
1,MIA,CLE,1.5,43.5,opening,2025-10-19T17:00:00Z
1,LV,KC,-9.5,45.5,opening,2025-10-19T17:00:00Z
1,PHI,MIN,3.0,44.5,opening,2025-10-19T17:00:00Z
1,NE,TEN,1.5,44.5,opening,2025-10-19T17:00:00Z
1,NYG,DEN,-7.5,42.5,opening,2025-10-19T20:05:00Z
1,IND,LAC,-6.0,45.5,opening,2025-10-19T20:05:00Z
1,GB,ARI,2.5,47.5,opening,2025-10-19T20:25:00Z
1,WAS,DAL,3.0,48.5,opening,2025-10-19T20:25:00Z
1,ATL,SF,-6.5,47.5,opening,2025-10-20T00:20:00Z
1,TB,DET,-3.5,49.5,opening,2025-10-20T23:00:00Z
1,HOU,SEA,-1.5,44.5,opening,2025-10-21T02:00:00Z
1,MIN,LAC,-3.0,44.5,opening,2025-10-24T00:15:00Z
1,MIA,ATL,-1.5,46.5,opening,2025-10-26T17:00:00Z
1,CHI,BAL,-7.0,48.5,opening,2025-10-26T17:00:00Z
1,BUF,CAR,7.0,47.5,opening,2025-10-26T17:00:00Z
1,NYJ,CIN,-7.5,45.5,opening,2025-10-26T17:00:00Z
1,CLE,NE,-5.5,42.5,opening,2025-10-26T17:00:00Z
1,SF,HOU,1.5,45.5,opening,2025-10-26T17:00:00Z
1,NYG,PHI,-10.5,43.5,opening,2025-10-26T17:00:00Z
1,TB,NO,5.5,45.5,opening,2025-10-26T20:05:00Z
1,DAL,DEN,-5.5,45.5,opening,2025-10-26T20:25:00Z
1,TEN,IND,-3.5,44.5,opening,2025-10-26T20:25:00Z
1,GB,PIT,2.5,44.5,opening,2025-10-27T00:20:00Z
1,WAS,KC,-3.5,48.5,opening,2025-10-28T00:15:00Z
1,BAL,MIA,5.5,47.5,opening,2025-10-31T00:15:00Z
1,ATL,NE,-3.0,44.5,opening,2025-11-02T18:00:00Z
1,CAR,GB,-7.5,45.5,opening,2025-11-02T18:00:00Z
1,CHI,CIN,-3.0,48.5,opening,2025-11-02T18:00:00Z
1,DEN,HOU,1.5,45.5,opening,2025-11-02T18:00:00Z
1,MIN,DET,-4.5,47.5,opening,2025-11-02T18:00:00Z
1,IND,PIT,-3.5,44.5,opening,2025-11-02T18:00:00Z
1,LAC,TEN,4.5,44.5,opening,2025-11-02T18:00:00Z
1,SF,NYG,3.5,44.5,opening,2025-11-02T18:00:00Z
1,JAX,LV,-1.5,45.5,opening,2025-11-02T21:05:00Z
1,NO,LA,-9.5,44.5,opening,2025-11-02T21:05:00Z
1,KC,BUF,-2.5,48.5,opening,2025-11-02T21:25:00Z
1,SEA,WAS,-5.5,47.5,opening,2025-11-03T01:20:00Z
1,ARI,DAL,-1.5,47.5,opening,2025-11-04T01:15:00Z
1,LV,DEN,-6.5,43.5,opening,2025-11-07T01:15:00Z
1,ATL,IND,1.5,44.5,opening,2025-11-09T14:30:00Z
1,BAL,MIN,3.5,46.5,opening,2025-11-09T18:00:00Z
1,BUF,MIA,5.5,48.5,opening,2025-11-09T18:00:00Z
1,NO,CAR,-4.5,43.5,opening,2025-11-09T18:00:00Z
1,NYG,CHI,-5.5,43.5,opening,2025-11-09T18:00:00Z
1,CLE,NYJ,-2.5,40.5,opening,2025-11-09T18:00:00Z
1,JAX,HOU,-3.5,45.5,opening,2025-11-09T18:00:00Z
1,NE,TB,-4.5,46.5,opening,2025-11-09T18:00:00Z
1,ARI,SEA,-1.5,45.5,opening,2025-11-09T21:05:00Z
1,DET,WAS,-1.5,49.5,opening,2025-11-09T21:25:00Z
1,LA,SF,-1.5,46.5,opening,2025-11-09T21:25:00Z
1,PIT,LAC,-4.5,43.5,opening,2025-11-10T01:20:00Z
1,PHI,GB,1.5,45.5,opening,2025-11-11T01:15:00Z
1,NYJ,NE,-5.5,42.5,opening,2025-11-14T01:15:00Z
1,WAS,MIA,4.5,48.5,opening,2025-11-16T14:30:00Z
1,CAR,ATL,-3.0,45.5,opening,2025-11-16T18:00:00Z
1,TB,BUF,-5.5,49.5,opening,2025-11-16T18:00:00Z
1,CHI,MIN,-2.5,45.5,opening,2025-11-16T18:00:00Z
1,CIN,PIT,1.5,46.5,opening,2025-11-16T18:00:00Z
1,GB,NYG,4.5,43.5,opening,2025-11-16T18:00:00Z
1,HOU,TEN,3.0,43.5,opening,2025-11-16T18:00:00Z
1,LAC,JAX,1.5,46.5,opening,2025-11-16T18:00:00Z
1,SF,ARI,1.5,47.5,opening,2025-11-16T21:05:00Z
1,SEA,LA,-4.5,45.5,opening,2025-11-16T21:05:00Z
1,BAL,CLE,8.5,44.5,opening,2025-11-16T21:25:00Z
1,KC,DEN,1.5,45.5,opening,2025-11-16T21:25:00Z
1,DET,PHI,-3.5,47.5,opening,2025-11-17T01:20:00Z
1,DAL,LV,1.5,45.5,opening,2025-11-18T01:15:00Z
1,BUF,HOU,3.5,46.5,opening,2025-11-21T01:15:00Z
1,NYJ,BAL,-11.5,44.5,opening,2025-11-23T18:00:00Z
1,PIT,CHI,-2.5,44.5,opening,2025-11-23T18:00:00Z
1,NE,CIN,-4.5,47.5,opening,2025-11-23T18:00:00Z
1,NYG,DET,-8.5,45.5,opening,2025-11-23T18:00:00Z
1,MIN,GB,-3.5,45.5,opening,2025-11-23T18:00:00Z
